urun_id,urun_puan,ekran_ekran_boyutu,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,özelli̇kler_suya_dayanıklılık,ekran_ekran_teknolojisi_Dynamic AMOLED,ekran_ekran_teknolojisi_IPS LCD,ekran_ekran_teknolojisi_OLED,ekran_ekran_teknolojisi_PLS,ekran_ekran_teknolojisi_Super AMOLED,ekran_ekran_teknolojisi_TFT LCD,ekran_ekran_çözünürlüğü_standardı_FHD+,ekran_ekran_çözünürlüğü_standardı_HD,ekran_ekran_çözünürlüğü_standardı_HD+,ekran_ekran_çözünürlüğü_standardı_QHD,ekran_ekran_çözünürlüğü_standardı_QHD+,ekran_ekran_çözünürlüğü_standardı_SD,kamera_video_kayıt_çözünürlüğü_1440p (Quad HD) 2K,kamera_video_kayıt_çözünürlüğü_2160p (Ultra HD) 4K,kamera_video_kayıt_çözünürlüğü_4320p (Ultra HD) 8K,kamera_video_kayıt_çözünürlüğü_480p,kamera_video_kayıt_çözünürlüğü_720p (HD),kamera_video_kayıt_çözünürlüğü_Unknown,tasarim_gövde_malzemesi_kapak_Cam,tasarim_gövde_malzemesi_kapak_Cam | Kauçuk/Plastik (Deri Görünümlü),tasarim_gövde_malzemesi_kapak_Cam | Plastik (Cam Görünümlü),tasarim_gövde_malzemesi_kapak_Fiberglass,tasarim_gövde_malzemesi_kapak_Fiberglass | Kauçuk/Plastik (Deri Görünümlü),tasarim_gövde_malzemesi_kapak_Kauçuk/Plastik (Deri Görünümlü),tasarim_gövde_malzemesi_kapak_Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),tasarim_gövde_malzemesi_kapak_Metal,tasarim_gövde_malzemesi_kapak_Plastik,tasarim_gövde_malzemesi_kapak_Plastik (Cam Görünümlü),tasarim_gövde_malzemesi_kapak_Plastik (Metalik Görünümlü),tasarim_gövde_malzemesi_kapak_PoliKarbonat (Metalik Görünümlü),tasarim_gövde_malzemesi_kapak_Polikarbonat,tasarim_gövde_malzemesi_kapak_Polimer (Cam Görünümlü),tasarim_gövde_malzemesi_kapak_Unknown,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi_BlackBerry OS,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi_iOS
251,69.0,6.7,120.0,4000.0,1,25.0,1,50.0,1.0,60.0,10.0,10.0,4.0,1355800.0,8.0,128.0,6.9,187.0,0.0,1,1,1,1,5.4,1.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
254,62.0,6.78,120.0,6600.0,1,66.0,0,108.0,1.0,30.0,16.0,8.0,4.0,581.4,8.0,256.0,7.98,189.0,0.0,1,1,1,1,5.1,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
256,51.0,6.72,90.0,5828.0,1,45.0,0,50.0,0.0,30.0,8.0,8.0,12.0,279.1,8.0,256.0,7.99,196.0,0.0,1,1,1,1,5.0,1.0,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
257,75.0,6.78,120.0,5500.0,1,100.0,0,50.0,1.0,60.0,16.0,8.0,4.0,1515100.0,16.0,256.0,8.8,207.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
258,47.0,6.8,90.0,5000.0,1,18.0,0,50.0,0.0,30.0,32.0,8.0,12.0,684.45,8.0,256.0,8.46,208.0,0.0,1,1,1,1,5.0,1.0,0.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
259,60.0,6.67,120.0,5000.0,1,120.0,0,200.0,1.0,30.0,16.0,8.0,6.0,538.4,8.0,256.0,8.98,210.5,0.0,1,1,1,1,5.2,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
260,61.0,6.7,120.0,5000.0,1,25.0,0,108.0,1.0,30.0,32.0,8.0,6.0,684.45,8.0,128.0,7.6,181.0,0.0,1,1,1,1,5.0,1.0,1.0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
261,72.0,6.73,120.0,4600.0,1,120.0,1,50.0,1.0,24.0,32.0,8.0,4.0,1119400.0,12.0,256.0,8.16,205.0,0.0,1,1,1,1,5.2,1.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
262,63.0,5.4,60.0,2425.0,1,20.0,1,12.0,1.0,60.0,12.0,6.0,5.0,1289300.0,4.0,128.0,7.65,141.0,0.0,1,1,1,1,5.0,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
263,66.0,6.1,60.0,3227.0,1,20.0,1,12.0,1.0,60.0,12.0,6.0,5.0,1550800.0,4.0,256.0,7.65,174.0,0.0,1,1,1,1,5.0,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
