Segment,Mutlak_Hata,Yuzde_Hata,Adet
0-10K,228.38817650082206,2.892206480189055,95
100K+,3211.458721590891,2.643793536937731,11
10K-25K,797.8645403731509,4.556307637518825,152
25K-50K,1420.7072284587357,3.969360330689504,103
50K-100K,4067.9842841796985,5.768670248221857,80
