urun_adi,url,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü,ekran_ekran_çözünürlüğü_standardı,ekran_piksel_yoğunluğu,ekran_ekran_yenileme_hızı,ekran_ekran_oranı_aspect_ratio,ekran_ekran_alanı,ekran_ekran_özellikleri,ekran_ekran_dayanıklılığı,ekran_renk_sayısı,ekran_ekran___gövde_oranı,batarya_batarya_kapasitesi_tipik,batarya_video_oynatma,batarya_video_oynatma_notu,batarya_şarj,batarya_batarya_teknolojisi,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_hızlı_şarj_özellikleri,batarya_kablosuz_şarj,batarya_kablosuz_şarj_özellikleri,batarya_değişir_batarya,batarya_batarya_özellikleri,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_ois_özelliği,kamera_kamera_özellikleri,kamera_flaş,kamera_diyafram_açıklığı,kamera_odak_uzaklığı,kamera_kayıpsız_yakınlaştırma,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_video_kayıt_özellikleri,kamera_video_kayıt_seçenekleri,kamera_ağır_çekim_kayıt_seçenekleri,kamera_i̇kinci_arka_kamera,kamera_i̇kinci_arka_kamera_çözünürlüğü,kamera_i̇kinci_arka_kamera_diyafram,kamera_i̇kinci_arka_kamera_özellikleri,kamera_ön_kamera_çözünürlüğü,kamera_ön_kamera_video_çözünürlüğü,kamera_ön_kamera_fps_değeri,kamera_ön_kamera_diyafram_açıklığı,kamera_ön_kamera_özellikleri,temel_donanim_yonga_seti_chipset,temel_donanim_cpu_frekansı,temel_donanim_cpu_çekirdeği,temel_donanim_ana_i̇şlemci_cpu,temel_donanim_1._yardımcı_i̇şlemci,temel_donanim_i̇şlemci_mimarisi,temel_donanim_grafik_i̇şlemcisi_gpu,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_geekbench_6_single_core,temel_donanim_geekbench_6_multi_core,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,temel_donanim_hafıza_kartı_desteği,temel_donanim_diğer_hafıza_seçenekleri,tasarim_boy,tasarim_en,tasarim_kalınlık,tasarim_ağırlık,tasarim_renk_seçenekleri,tasarim_gövde_malzemesi_kapak,tasarim_gövde_malzemesi_çerçeve,ağ_bağlantilari_2g,ağ_bağlantilari_3g,ağ_bağlantilari_4g,ağ_bağlantilari_4g_özellikleri,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_5g,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi_versiyonu,kablosuz_bağlantilar_wi_fi_kanalları,kablosuz_bağlantilar_wi_fi_özellikleri,kablosuz_bağlantilar_nfc,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_kızılötesi,kablosuz_bağlantilar_navigasyon_özellikleri,çoklu_ortam_radyo,çoklu_ortam_hoparlör_özellikleri,çoklu_ortam_ses_çıkışı,özelli̇kler_suya_dayanıklılık,özelli̇kler_suya_dayanıklılık_seviyesi,özelli̇kler_toza_dayanıklılık,özelli̇kler_toza_dayanıklılık_seviyesi,özelli̇kler_görüntülü_konuşma_uygulama,özelli̇kler_sensörler,özelli̇kler_parmak_izi_okuyucu,özelli̇kler_bildirim_işığı_led,özelli̇kler_sar_değeri_10g_baş,özelli̇kler_sar_değeri_10g_vücut,özelli̇kler_servis_ve_uygulamalar,özelli̇kler_kutu_i̇çeriği,di̇ğer_bağlantilar_usb_versiyonu,di̇ğer_bağlantilar_usb_bağlantı_tipi,di̇ğer_bağlantilar_usb_özellikleri,di̇ğer_bağlantilar_hat_sayısı,di̇ğer_bağlantilar_çift_hat_özelliği,di̇ğer_bağlantilar_sim,ab_ürün_kayit_ve_enerji̇_eti̇keti̇_enerji_sınıfı,ab_ürün_kayit_ve_enerji̇_eti̇keti̇_şarj_sonrası_pil_süresi,ab_ürün_kayit_ve_enerji̇_eti̇keti̇_düşme_direnci_sınıfı,ab_ürün_kayit_ve_enerji̇_eti̇keti̇_onarılabilirlik_sınıfı,ab_ürün_kayit_ve_enerji̇_eti̇keti̇_şarj_döngü_sayısı_ab,ab_ürün_kayit_ve_enerji̇_eti̇keti̇_suya_ya_da_toza_direnç_sınıfı,temel_bi̇lgi̇ler_çıkış_yılı,temel_bi̇lgi̇ler_duyurulma_tarihi,temel_bi̇lgi̇ler_seri,temel_bi̇lgi̇ler_alt_seri,batarya_müzik_oynatma,kamera_dxomark_camera_v5,temel_donanim_geekbench_5_single_core,temel_donanim_geekbench_5_multi_core,i̇şleti̇m_si̇stemi̇_yükseltilebilir_versiyon,batarya_i̇nternet_kullanımı_wifi,batarya_i̇nternet_kullanımı_4g,batarya_müzik_oynatma_notu,kamera_üçüncü_arka_kamera,kamera_üçüncü_arka_kamera_çözünürlüğü,kamera_üçüncü_arka_kamera_diyafram,kamera_üçüncü_arka_kamera_özellikleri,kamera_dördüncü_arka_kamera,kamera_dördüncü_arka_kamera_çözünürlüğü,kamera_dördüncü_arka_kamera_diyafram,kamera_dördüncü_arka_kamera_özellikleri,temel_donanim_2._yardımcı_i̇şlemci,temel_donanim_gpu_frekansı,temel_donanim_antutu_puanı_v11,temel_donanim_ram_tipi,temel_donanim_dahili_depolama_biçimi,ağ_bağlantilari_2g_frekansları,ağ_bağlantilari_3g_frekansları,ağ_bağlantilari_4g_frekansları,i̇şleti̇m_si̇stemi̇_kullanıcı_arayüzü,i̇şleti̇m_si̇stemi̇_lansman_arayüz_versiyonu,özelli̇kler_parmak_izi_okuyucu_özellikleri,kamera_dxomark_camera_v6,kamera_dxomark_camera_v4,temel_donanim_antutu_puanı_v9,temel_bi̇lgi̇ler_kullanım_kılavuzu,batarya_şarj_süresi_üretici_verisi,kamera_kamera_sensör_boyutu,kamera_ön_kamera_sensör_boyutu,kablosuz_bağlantilar_bluetooth_özellikleri,batarya_batarya_kapasitesi_notu,batarya_oyun,temel_donanim_diğer_bellek_ram_seçenekleri,temel_donanim_hafıza_kartı_maks._kapasitesi,i̇şleti̇m_si̇stemi̇_planlanan_yükseltilebilir_versiyon,temel_bi̇lgi̇ler_çıkış_tarihi,tasarim_ağırlık_seçenekleri,ekran_i̇kinci_ekran_arka,ekran_i̇kinci_ekran_boyutu,ekran_i̇kinci_ekran_çözünürlüğü,ekran_i̇kinci_ekran_yoğunluğu,ekran_i̇kinci_ekran_özellikleri,batarya_konuşma_süresi_4g,kamera_i̇kinci_ön_kamera,kamera_i̇kinci_ön_kamera_çözünürlüğü,kamera_i̇kinci_ön_kamera_diyafram,kamera_i̇kinci_ön_kamera_özellikleri,tasarim_kalınlık_en_i̇nce_noktada,tasarim_kalınlık_katlanmış_durumda,tasarim_boy_katlanmış_açılmış_durumda,tasarim_en_katlanmış_açılmış_durumda,kablosuz_bağlantilar_nfc_notu,temel_donanim_diğer_chipset_seçenekleri,kamera_diyafram_açıklığı_maks,batarya_karma_kullanım,temel_donanim_antutu_puanı_v8,özelli̇kler_led_özelliği,temel_bi̇lgi̇ler_diğer_adları,ağ_bağlantilari_4g_i̇ndirme,ağ_bağlantilari_4g_karşıya_yükleme,ağ_bağlantilari_4g_teknolojisi,batarya_bekleme_süresi_4g,ağ_bağlantilari_4g_frekansları_notu,kablosuz_bağlantilar_nfc_özellikleri,kamera_dxomark_camera_v3,temel_donanim_antutu_puanı_v7,kamera_üçüncü_arka_kamera_diyafram_maks,temel_bi̇lgi̇ler_not,temel_bi̇lgi̇ler_kullanım_amacı,özelli̇kler_desteklenen_aksesuarlar
Apple iPhone 17,https://www.epey.com/akilli-telefonlar/apple-iphone-17.html,6.3 İnç | 6.3 İnç,OLED | OLED,1206x2622 (FHD+) Piksel | 1206x2622 (FHD+) Piksel,FHD+ | FHD+,460 PPI,120 Hz | 120 Hz,19.5:9 | 19.5:9,96.31 cm²,Low-Temperature Polycrystalline Oxide (LTPO) | Low-Temperature Polycrystalline Oxide (LTPO) | Dolby Vision | Dolby Vision | HDR | HDR | Çizilmeye Dirençli Cam | Çizilmeye Dirençli Cam | HDR10 | HDR10 | Multi Touch | Multi Touch | DCI-P3 Renk Uzayı | DCI-P3 Renk Uzayı | Oleophobic Coating | Oleophobic Coating | Çerçevesiz Tasarım | Çerçevesiz Tasarım | Sürekli Açık Ekran (Always-on Display) | Sürekli Açık Ekran (Always-on Display) | Ekran İçinde Ön Kamera | Ekran İçinde Ön Kamera | HLG | HLG | Super Retina XDR Display | Super Retina XDR Display | True Tone Ekran | True Tone Ekran | 2.000.000:1 Kontrast Oranı (Tipik) | 2.000.000:1 Kontrast Oranı (Tipik) | 1000 cd/m² (nit) Parlaklık | 1000 cd/m² (nit) Parlaklık | 1600 cd/m² (nit) Parlaklık (HDR) | 1600 cd/m² (nit) Parlaklık (HDR) | 3000 cd/m² (nit) Parlaklık (Maks.) | 3000 cd/m² (nit) Parlaklık (Maks.),Corning Ceramic Shield Glass (Gen2) | Corning Ceramic Shield Glass (Gen2),16 Milyon | 16 Milyon,90.04 %,3692 mAh | 3692 mAh,27 Saat,Çevrimiçi,USB Type-C | USB Type-C,Lithium Ion (Li-Ion) | Lithium Ion (Li-Ion),Var | Var,40 W | 40 W,Hızlı Şarj (40W) | Hızlı Şarj (40W),Var | Var,Kablosuz Hızlı Şarj | Kablosuz Hızlı Şarj | MagSafe ile Kablosuz Hızlı Şarj (30W) | MagSafe ile Kablosuz Hızlı Şarj (30W),Yok,20 Dakikada %50 Dolum | 20 Dakikada %50 Dolum,48 MP | 48 MP,Var | Var,Sensor-shift OIS,Focus Pixels Otomatik Odaklama | Focus Pixels Otomatik Odaklama | Portre Modu (Bokeh) | Portre Modu (Bokeh) | Phase Detect Auto-Focus (PDAF) | Phase Detect Auto-Focus (PDAF) | Safir Kristal Objektif Kapağı | Safir Kristal Objektif Kapağı | HDR | HDR | Yapay Zeka (AI) Sahne Algılama | Yapay Zeka (AI) Sahne Algılama | Live Photos | Live Photos | Panorama | Panorama | Fiziki Denklanşör Tuşu | Fiziki Denklanşör Tuşu | Otomatik Odaklama | Otomatik Odaklama | Sesli komut | Sesli komut | Kırmızı Göz (Red-eye) Düzeltme | Kırmızı Göz (Red-eye) Düzeltme | Dahili QR Kod Okuyucu | Dahili QR Kod Okuyucu | Seri Çekim (Burst) Modu | Seri Çekim (Burst) Modu | Zamanlayıcı | Zamanlayıcı | 1.0μm (2.0μm) Piksel | 1.0μm (2.0μm) Piksel,LED | LED,F1.6 | F1.6,26 mm,2 x | 2 x,2160p (Ultra HD) 4K | 2160p (Ultra HD) 4K,60 fps | 60 fps,Dolby Vision Kayıt | Dolby Vision Kayıt | HDR | HDR | HDR (4K) | HDR (4K) | Dijital görüntü sabitleyici (EIS) | Dijital görüntü sabitleyici (EIS) | HDR (4K) 60fps | HDR (4K) 60fps | Stereo Ses Kaydı | Stereo Ses Kaydı | Sürekli Otomatik Odaklama | Sürekli Otomatik Odaklama | Time-lapse (Hyperlapse) | Time-lapse (Hyperlapse) | Video Yakınlaştırma | Video Yakınlaştırma | Yavaş Çekim Video Kayıt (Slow motion video) | Yavaş Çekim Video Kayıt (Slow motion video),720p @ 30fps | 720p @ 30fps | 1080p @ 25fps | 1080p @ 25fps | 1080p @ 30fps | 1080p @ 30fps | 1080p @ 60fps | 1080p @ 60fps | 2160p @ 24fps | 2160p @ 24fps | 2160p @ 25fps | 2160p @ 25fps | 2160p @ 30fps | 2160p @ 30fps | 2160p @ 60fps | 2160p @ 60fps,1080p @ 120fps | 1080p @ 120fps | 1080p @ 240fps | 1080p @ 240fps,Var | Var,48 MP | 48 MP,F2.2,Ekstra Geniş Açı | Ekstra Geniş Açı | Makro (Macro) Çekim | Makro (Macro) Çekim | Otomatik Odaklama | Otomatik Odaklama | Ekstra Geniş Açı (120°) | Ekstra Geniş Açı (120°) | 0.7μm (1.4μm) Piksel | 0.7μm (1.4μm) Piksel | 13mm | 13mm,18 MP | 18 MP,2160p (Ultra HD) 4K | 2160p (Ultra HD) 4K,60 fps | 60 fps,F1.9 | F1.9,Otomatik Odaklama | Otomatik Odaklama | Portre Modu | Portre Modu | TrueDepth Camera | TrueDepth Camera | HDR | HDR | Sanal Flaş | Sanal Flaş | Video HDR Dolby Vision | Video HDR Dolby Vision | Yavaş Çekim (Slow Motion) Video Kayıt | Yavaş Çekim (Slow Motion) Video Kayıt | Time-lapse (Hyperlapse) | Time-lapse (Hyperlapse) | Zamanlayıcı (self-timer) | Zamanlayıcı (self-timer) | Animoji | Animoji | Dijital görüntü sabitleyici (EIS) | Dijital görüntü sabitleyici (EIS) | Live Photos | Live Photos | Pozlama Kontrolü | Pozlama Kontrolü | Seri Çekim (Burst) Modu | Seri Çekim (Burst) Modu | Video HDR | Video HDR | Yüz Algılama | Yüz Algılama | 1080p @ 120fps Kayıt | 1080p @ 120fps Kayıt,Apple A19 | Apple A19,4.26 GHz | 4.26 GHz,6 Çekirdek | 6 Çekirdek,2x 4.26 GHz | 2x 4.26 GHz,4x 2.50 GHz | 4x 2.50 GHz,64-bit | 64-bit,5x Apple GPU | 5x Apple GPU,3 nm | 3 nm,2.430.300 Puan,3.695 Puan,9.425 Puan,8 GB | 8 GB,256 GB | 256 GB,Yok,256/512GB Depolama seçeneği var,149.6 mm,71.5 mm,7.95 mm,177 Gram,Siyah | Siyah | Beyaz | Beyaz | Mavi | Mavi | Mor | Mor | Yeşil | Yeşil,Cam | Cam,Alüminyum | Alüminyum,Var | Var,Var | Var,Var | Var,VoLTE (Voice over LTE) Desteği | VoLTE (Voice over LTE) Desteği,Var | Var,Var | Var,iOS | iOS,iOS 26 | iOS 26,Wi-Fi 7 (802.11 a/b/g/n/ac/ax/be) | Wi-Fi 7 (802.11 a/b/g/n/ac/ax/be),Dual-Band (5GHz) | Dual-Band (5GHz) | VoWiFi (Wi-Fi Araması) | VoWiFi (Wi-Fi Araması) | Thread Networking Protocol | Thread Networking Protocol | 2X MIMO | 2X MIMO | MIMO | MIMO | Wi-Fi Hotspot | Wi-Fi Hotspot,Var | Var,6.0 | 6.0,Yok,GPS | GPS | BDS | BDS | GLONASS | GLONASS | Galileo | Galileo | QZSS | QZSS | Dual-Frequency GPS | Dual-Frequency GPS | NavIC | NavIC,Yok,Stereo | Stereo | Çift Hoparlör | Çift Hoparlör,USB Type-C | USB Type-C,Var | Var,IPX8 | IPX8,Var | Var,IP6X | IP6X,Var | Var,İvmeölçer | İvmeölçer | Jiroskop | Jiroskop | Yakınlık Sensörü | Yakınlık Sensörü | Pusula | Pusula | Ortam Işığı Sensörü | Ortam Işığı Sensörü | Barometre | Barometre | Ortam Işığı Sensörü (Arka) | Ortam Işığı Sensörü (Arka),Yok,Yok,1.49 W/kg,1.49 W/kg,AirPlay | AirPlay | Apple Pay | Apple Pay | Arttırılmış Gerçeklik (Augmented Reality-AR) Uyumu | Arttırılmış Gerçeklik (Augmented Reality-AR) Uyumu | Dolby Atmos | Dolby Atmos | Ekran Yansıtma (Screen Mirroring) | Ekran Yansıtma (Screen Mirroring) | Face ID | Face ID | FaceTime | FaceTime | Gürültü Önleyici 2 Mikrofon | Gürültü Önleyici 2 Mikrofon | iCloud Drive | iCloud Drive | Kısayol Tuşu (Kişiselleştirilebilir) | Kısayol Tuşu (Kişiselleştirilebilir) | Kısayol Tuşu (Sessiz Mod) | Kısayol Tuşu (Sessiz Mod) | MagSafe | MagSafe | Siri | Siri | Trafik Kazası Algılama | Trafik Kazası Algılama | Ultra Geniş Bant (UWB) | Ultra Geniş Bant (UWB) | Yüz Tanımlama | Yüz Tanımlama | Yüz Tanımlama (3D) | Yüz Tanımlama (3D),SIM Çıkartma İğnesi | SIM Çıkartma İğnesi | USB Kablosu (Type-C'den Type-C'ye) | USB Kablosu (Type-C'den Type-C'ye),2.0 | 2.0,USB Type-C | USB Type-C,DisplayPort | DisplayPort | Kulaklık Ses Çıkışı | Kulaklık Ses Çıkışı,Çift Hat | Çift Hat,Dual eSIM | Dual eSIM | Dual Standby | Dual Standby,eSIM | eSIM | Nano-SIM (4FF) | Nano-SIM (4FF),A,41 saat,B,C,1000 Döngü,IP68,2025 | 2025,"2025, Eylül",Apple iPhone 17 | Apple iPhone 17,Apple iPhone 17 | Apple iPhone 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple iPhone 15(128 GB),https://www.epey.com/akilli-telefonlar/apple-iphone-15.html,6.1 İnç | 6.1 İnç,OLED | OLED,1179x2556 (FHD+) Piksel | 1179x2556 (FHD+) Piksel,FHD+ | FHD+,460 PPI,60 Hz | 60 Hz,19.5:9 | 19.5:9,90.41 cm²,Dolby Vision | Dolby Vision | HDR | HDR | Çizilmeye Dirençli Cam | Çizilmeye Dirençli Cam | HDR10 | HDR10 | Multi Touch | Multi Touch | DCI-P3 Renk Uzayı | DCI-P3 Renk Uzayı | Oleophobic Coating | Oleophobic Coating | Çerçevesiz Tasarım | Çerçevesiz Tasarım | Ekran İçinde Ön Kamera | Ekran İçinde Ön Kamera | HLG | HLG | Super Retina XDR Display | Super Retina XDR Display | True Tone Ekran | True Tone Ekran | 2.000.000:1 Kontrast Oranı (Tipik) | 2.000.000:1 Kontrast Oranı (Tipik) | 1000 cd/m² (nit) Parlaklık | 1000 cd/m² (nit) Parlaklık | 1600 cd/m² (nit) Parlaklık (HDR) | 1600 cd/m² (nit) Parlaklık (HDR) | 2000 cd/m² (nit) Parlaklık (Maks.) | 2000 cd/m² (nit) Parlaklık (Maks.),Corning Ceramic Shield Glass | Corning Ceramic Shield Glass,16 Milyon | 16 Milyon,85.55 %,3349 mAh | 3349 mAh,16 Saat,Çevrimiçi,USB Type-C | USB Type-C,Lithium Ion (Li-Ion) | Lithium Ion (Li-Ion),Var | Var,20 W | 20 W,Hızlı Şarj (20W) | Hızlı Şarj (20W),Var | Var,Kablosuz Hızlı Şarj | Kablosuz Hızlı Şarj | MagSafe ile Kablosuz Hızlı Şarj (15W) | MagSafe ile Kablosuz Hızlı Şarj (15W) | Kablosuz Şarj (7.5W) | Kablosuz Şarj (7.5W),Yok,,48 MP | 48 MP,Var | Var,Sensor-shift OIS,Focus Pixels Otomatik Odaklama | Focus Pixels Otomatik Odaklama | Portre Modu (Bokeh) | Portre Modu (Bokeh) | Phase Detect Auto-Focus (PDAF) | Phase Detect Auto-Focus (PDAF) | Safir Kristal Objektif Kapağı | Safir Kristal Objektif Kapağı | HDR | HDR | Yapay Zeka (AI) Sahne Algılama | Yapay Zeka (AI) Sahne Algılama | Live Photos | Live Photos | Panorama | Panorama | Otomatik Odaklama | Otomatik Odaklama | Sesli komut | Sesli komut | Kırmızı Göz (Red-eye) Düzeltme | Kırmızı Göz (Red-eye) Düzeltme | Dahili QR Kod Okuyucu | Dahili QR Kod Okuyucu | Seri Çekim (Burst) Modu | Seri Çekim (Burst) Modu | Zamanlayıcı | Zamanlayıcı | 2.00µm Piksel | 2.00µm Piksel,LED | LED,F1.6 | F1.6,26 mm,2 x | 2 x,2160p (Ultra HD) 4K | 2160p (Ultra HD) 4K,60 fps | 60 fps,Dolby Vision Kayıt | Dolby Vision Kayıt | HDR | HDR | HDR (4K) | HDR (4K) | Dijital görüntü sabitleyici (EIS) | Dijital görüntü sabitleyici (EIS) | Stereo Ses Kaydı | Stereo Ses Kaydı | Sürekli Otomatik Odaklama | Sürekli Otomatik Odaklama | Time-lapse (Hyperlapse) | Time-lapse (Hyperlapse) | Video Yakınlaştırma | Video Yakınlaştırma | Yavaş Çekim Video Kayıt (Slow motion video) | Yavaş Çekim Video Kayıt (Slow motion video),1080p @ 25fps | 1080p @ 25fps | 1080p @ 30fps | 1080p @ 30fps | 1080p @ 60fps | 1080p @ 60fps | 2160p @ 24fps | 2160p @ 24fps | 2160p @ 25fps | 2160p @ 25fps | 2160p @ 30fps | 2160p @ 30fps | 2160p @ 60fps | 2160p @ 60fps,1080p @ 120fps | 1080p @ 120fps | 1080p @ 240fps | 1080p @ 240fps,Var | Var,12 MP | 12 MP,F2.4,Ekstra Geniş Açı | Ekstra Geniş Açı | Ekstra Geniş Açı (120°) | Ekstra Geniş Açı (120°) | 13mm | 13mm,12 MP | 12 MP,2160p (Ultra HD) 4K | 2160p (Ultra HD) 4K,60 fps | 60 fps,F1.9 | F1.9,Otomatik Odaklama | Otomatik Odaklama | Portre Modu | Portre Modu | TrueDepth Camera | TrueDepth Camera | HDR | HDR | Sanal Flaş | Sanal Flaş | Video HDR Dolby Vision | Video HDR Dolby Vision | Yavaş Çekim (Slow Motion) Video Kayıt | Yavaş Çekim (Slow Motion) Video Kayıt | Time-lapse (Hyperlapse) | Time-lapse (Hyperlapse) | Zamanlayıcı (self-timer) | Zamanlayıcı (self-timer) | Animoji | Animoji | Dijital görüntü sabitleyici (EIS) | Dijital görüntü sabitleyici (EIS) | Live Photos | Live Photos | Pozlama Kontrolü | Pozlama Kontrolü | Seri Çekim (Burst) Modu | Seri Çekim (Burst) Modu | Video HDR | Video HDR | Yüz Algılama | Yüz Algılama | 1080p @ 120fps Kayıt | 1080p @ 120fps Kayıt,Apple A16 Bionic | Apple A16 Bionic,3.46 GHz | 3.46 GHz,6 Çekirdek | 6 Çekirdek,2x 3.46 GHz Everest | 2x 3.46 GHz Everest,4x 2.0 GHz Sawtooth | 4x 2.0 GHz Sawtooth,64-bit | 64-bit,5x Apple GPU | 5x Apple GPU,4 nm | 4 nm,1.753.700 Puan,2.655 Puan,7.070 Puan,6 GB | 6 GB,128 GB | 128 GB,Yok,128/256/512GB Depolama seçeneği var,147.6 mm,71.6 mm,7.8 mm,171 Gram,Siyah | Siyah | Mavi | Mavi | Pembe | Pembe | Sarı | Sarı | Yeşil | Yeşil,Cam | Cam,Alüminyum | Alüminyum,Var | Var,Var | Var,Var | Var,VoLTE (Voice over LTE) Desteği | VoLTE (Voice over LTE) Desteği,Var | Var,Var | Var,iOS | iOS,iOS 17 | iOS 17,Wi-Fi 6 (802.11 a/b/g/n/ac/ax) | Wi-Fi 6 (802.11 a/b/g/n/ac/ax),Dual-Band (5GHz) | Dual-Band (5GHz) | VoWiFi (Wi-Fi Araması) | VoWiFi (Wi-Fi Araması) | 2X MIMO | 2X MIMO | MIMO | MIMO | Wi-Fi Hotspot | Wi-Fi Hotspot,Var | Var,5.3 | 5.3,Yok,GPS | GPS | BDS | BDS | GLONASS | GLONASS | Galileo | Galileo | QZSS | QZSS,Yok,Stereo | Stereo | Çift Hoparlör | Çift Hoparlör,USB Type-C | USB Type-C,Var | Var,IPX8 | IPX8,Var | Var,IP6X | IP6X,Var | Var,İvmeölçer | İvmeölçer | Jiroskop | Jiroskop | Yakınlık Sensörü | Yakınlık Sensörü | Pusula | Pusula | Ortam Işığı Sensörü | Ortam Işığı Sensörü | Barometre | Barometre | Ortam Işığı Sensörü (Arka) | Ortam Işığı Sensörü (Arka),Yok,Yok,0.98 W/kg,0.98 W/kg,AirPlay | AirPlay | Apple Pay | Apple Pay | Arttırılmış Gerçeklik (Augmented Reality-AR) Uyumu | Arttırılmış Gerçeklik (Augmented Reality-AR) Uyumu | Dolby Atmos | Dolby Atmos | Ekran Yansıtma (Screen Mirroring) | Ekran Yansıtma (Screen Mirroring) | Face ID | Face ID | FaceTime | FaceTime | Gürültü Önleyici 2 Mikrofon | Gürültü Önleyici 2 Mikrofon | iCloud Drive | iCloud Drive | Kısayol Tuşu (Sessiz Mod) | Kısayol Tuşu (Sessiz Mod) | MagSafe | MagSafe | Siri | Siri | Trafik Kazası Algılama | Trafik Kazası Algılama | Ultra Geniş Bant (UWB) | Ultra Geniş Bant (UWB) | Yüz Tanımlama | Yüz Tanımlama | Yüz Tanımlama (3D) | Yüz Tanımlama (3D),SIM Çıkartma İğnesi | SIM Çıkartma İğnesi | USB Kablosu (Type-C'den Type-C'ye) | USB Kablosu (Type-C'den Type-C'ye),2.0 | 2.0,USB Type-C | USB Type-C,DisplayPort | DisplayPort | Kulaklık Ses Çıkışı | Kulaklık Ses Çıkışı,Çift Hat | Çift Hat,Dual Standby | Dual Standby,eSIM | eSIM | Nano-SIM (4FF) | Nano-SIM (4FF),B,34 saat,C,C,1000 Döngü,IP68,2023 | 2023,"2023, Eylül",Apple iPhone 15 | Apple iPhone 15,Apple iPhone 15 | Apple iPhone 15,80 Saat,145 Puan,1.910 Puan,5.305 Puan,iOS 26 | iOS 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
