urun_adi,url
realme 12 Pro(RMX3842),https://www.epey.com/akilli-telefonlar/realme-12-pro.html
Samsung Galaxy S24 FE(128 GB)(SM-S721B),https://www.epey.com/akilli-telefonlar/samsung-galaxy-s24-fe.html
Redmi Note 13 Pro,https://www.epey.com/akilli-telefonlar/redmi-note-13-pro-4g.html
Apple iPhone 14 Pro Max(128 GB),https://www.epey.com/akilli-telefonlar/apple-iphone-14-pro-max.html
Apple iPhone 15 Pro Max,https://www.epey.com/akilli-telefonlar/apple-iphone-15-pro-max.html
Vivo X300 Pro(V2514),https://www.epey.com/akilli-telefonlar/vivo-x300-pro.html
Oppo Reno14 5G(CPH2737),https://www.epey.com/akilli-telefonlar/oppo-reno-14.html
Redmi 13,https://www.epey.com/akilli-telefonlar/redmi-13.html
Xiaomi 14T Pro(512 GB),https://www.epey.com/akilli-telefonlar/xiaomi-14t-pro-512gb.html
Samsung Galaxy A16(4 GB / 128 GB)(SM-A165F),https://www.epey.com/akilli-telefonlar/samsung-galaxy-a16.html
Apple iPhone 15 Pro,https://www.epey.com/akilli-telefonlar/apple-iphone-15-pro.html
Samsung Galaxy A56 5G(128 GB),https://www.epey.com/akilli-telefonlar/samsung-galaxy-a56-5g-128gb.html
Redmi Note 13 Pro 5G(12 GB / 512 GB),https://www.epey.com/akilli-telefonlar/redmi-note-13-pro.html
Samsung Galaxy S23 Ultra(SM-S918B),https://www.epey.com/akilli-telefonlar/samsung-galaxy-s23-ultra.html
Honor 400(12 GB / 256 GB)(DNY-NX9),https://www.epey.com/akilli-telefonlar/honor-400-12-256gb.html
Samsung Galaxy S25 Ultra(1 TB),https://www.epey.com/akilli-telefonlar/samsung-galaxy-s25-ultra-1tb.html
Samsung Galaxy S21 FE 5G(SM-G990E),https://www.epey.com/akilli-telefonlar/samsung-galaxy-s21-fe.html
Redmi 15 5G,https://www.epey.com/akilli-telefonlar/redmi-15-5g.html
Apple iPhone 16 Plus(128 GB),https://www.epey.com/akilli-telefonlar/apple-iphone-16-plus.html
Redmi Note 12 Pro 5G(8 GB / 256 GB),https://www.epey.com/akilli-telefonlar/redmi-note-12-pro-5g-256gb.html
Xiaomi 14T(512 GB),https://www.epey.com/akilli-telefonlar/xiaomi-14t-512gb.html
Redmi Note 13 Pro 5G(8 GB / 256 GB),https://www.epey.com/akilli-telefonlar/redmi-note-13-pro-5g-8-256gb.html
Redmi Note 13 Pro+ 5G,https://www.epey.com/akilli-telefonlar/redmi-note-13-pro-plus.html
Samsung Galaxy A17 5G(6 GB / 128 GB),https://www.epey.com/akilli-telefonlar/samsung-galaxy-a17-5g-128gb.html
Xiaomi 14T Pro(256 GB),https://www.epey.com/akilli-telefonlar/xiaomi-14t-pro.html
CMF Phone 1(128 GB),https://www.epey.com/akilli-telefonlar/cmf-phone-1.html
Apple iPhone 14(128 GB),https://www.epey.com/akilli-telefonlar/apple-iphone-14.html
Apple iPhone 16(256 GB),https://www.epey.com/akilli-telefonlar/apple-iphone-16-256gb.html
Oppo A5 5G,https://www.epey.com/akilli-telefonlar/oppo-a5-5g.html
Tecno Spark 40 5G(KM8n),https://www.epey.com/akilli-telefonlar/tecno-spark-40-5g.html
Vivo X200 FE(V2503),https://www.epey.com/akilli-telefonlar/vivo-x200-fe.html
Apple iPhone 17 Pro(512 GB),https://www.epey.com/akilli-telefonlar/apple-iphone-17-pro-512gb.html
Xiaomi 14T Pro(1 TB),https://www.epey.com/akilli-telefonlar/xiaomi-14t-pro-1tb.html
Nothing Phone (3),https://www.epey.com/akilli-telefonlar/nothing-phone-3.html
Nothing Phone (1)(128 GB),https://www.epey.com/akilli-telefonlar/nothing-phone-1-128gb.html
