urun_id,urun_fiyat,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
819,9.578449693540579,6.78,AMOLED,FHD+,120.0,5000.0,Var,45.0,Yok,108.0,Yok,1440p (Quad HD) 2K,30.0,50.0,8.0,6.0,428.4,8.0,256.0,7.9,185.0,,Yok,Var,Var,Var,Var,,Var,Android,Var
820,10.150114400146578,6.78,OLED,FHD+,120.0,4500.0,Var,100.0,Yok,50.0,Yok,2160p (Ultra HD) 4K,30.0,60.0,8.0,6.0,593.2,8.0,256.0,7.88,193.0,,Yok,Var,Var,Var,Var,5.2,Var,Android,Yok
821,9.80615252410878,6.6,PLS,FHD+,90.0,6000.0,Var,15.0,Yok,50.0,Yok,1080p (Full HD),30.0,13.0,8.0,5.0,439.7,4.0,128.0,9.4,206.0,Plastik,Var,Var,Var,Var,Var,5.2,Var,Android,Yok
822,9.093918908958932,6.5,IPS LCD,HD+,60.0,5000.0,Yok,,Yok,13.0,Yok,,,8.0,8.0,12.0,,3.0,64.0,8.8,203.8,Plastik,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
823,8.60829817814062,6.52,,HD+,60.0,4500.0,Yok,,Yok,21.0,Yok,,,8.0,8.0,12.0,,4.0,128.0,8.5,,,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
824,9.305741456739435,6.78,IPS LCD,FHD+,90.0,5000.0,Var,33.0,Yok,50.0,Yok,1440p (Quad HD) 2K,30.0,8.0,8.0,12.0,263.3,8.0,256.0,8.4,196.0,,Yok,Var,Var,Var,Var,,Var,Android,Yok
825,8.575462099540212,6.52,,HD+,60.0,4500.0,Yok,,Yok,21.0,Yok,,,8.0,8.0,12.0,,4.0,128.0,,,,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
826,8.663056482649372,6.78,IPS LCD,FHD+,90.0,5000.0,Var,18.0,Yok,50.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,268.2,4.0,128.0,8.6,203.0,Plastik,Yok,Var,Var,Var,Var,5.1,Yok,Android,Var
828,9.275194155913216,6.55,IPS LCD,HD+,90.0,5000.0,Var,18.0,Yok,50.0,Yok,1080p (Full HD),30.0,8.0,8.0,6.0,320.8,4.0,64.0,8.38,192.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Var,Android,Var
829,8.501063809486354,6.5,IPS LCD,SD,60.0,3950.0,Yok,,Yok,8.0,Yok,,,5.0,4.0,12.0,181.7,4.0,128.0,9.5,219.0,,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
