urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
75.0,6.2,Dynamic AMOLED,FHD+,120.0,4000.0,Var,25.0,Var,50.0,Var,4320p (Ultra HD) 8K,30.0,12.0,10.0,4.0,1851600.0,8.0,256.0,7.6,167.0,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
48.0,6.9,IPS LCD,HD+,120.0,6000.0,Var,33.0,Yok,50.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,274.6,8.0,256.0,7.99,205.0,,Yok,Var,Var,Var,Var,5.4,Var,Android,Var
88.0,6.9,OLED,FHD+,120.0,4685.0,Var,30.0,Var,48.0,Var,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1949200.0,8.0,256.0,8.25,227.0,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
59.0,6.7,Super AMOLED,FHD+,120.0,5000.0,Var,25.0,Yok,50.0,Var,2160p (Ultra HD) 4K,30.0,13.0,8.0,5.0,599.2,8.0,256.0,7.7,200.0,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
83.0,6.8,Dynamic AMOLED,QHD+,120.0,5000.0,Var,45.0,Var,200.0,Var,4320p (Ultra HD) 8K,30.0,12.0,8.0,4.0,2019200.0,12.0,256.0,8.6,232.0,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
66.0,6.79,AMOLED,FHD+,120.0,7500.0,Var,66.0,Yok,108.0,Var,2160p (Ultra HD) 4K,30.0,16.0,8.0,4.0,754.2,8.0,256.0,7.76,189.0,Plastik (Cam Görünümlü),Var,Var,Var,Var,Var,5.2,Var,Android,Var
42.0,6.7,PLS,HD+,90.0,5000.0,Var,25.0,Yok,50.0,Yok,1080p (Full HD),30.0,8.0,8.0,6.0,394.4,4.0,128.0,7.6,184.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.3,Yok,Android,Var
88.0,6.9,Dynamic AMOLED,QHD+,120.0,5000.0,Var,45.0,Var,200.0,Var,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2551600.0,12.0,512.0,8.2,218.0,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
73.0,6.67,AMOLED,FHD+,120.0,6000.0,Var,90.0,Yok,50.0,Var,2160p (Ultra HD) 4K,60.0,20.0,8.0,4.0,1700100.0,8.0,256.0,8.29,195.0,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Var,Var,Var,Var,Var,6.0,Var,Android,Var
55.0,6.7,Super AMOLED,FHD+,90.0,5000.0,Var,25.0,Yok,50.0,Var,1080p (Full HD),30.0,13.0,8.0,5.0,463.1,8.0,256.0,7.5,192.0,,Var,Var,Var,Var,Var,5.3,Var,Android,Var
