urun_id,urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
1,106999.0,90.0,6.9 İnç,OLED,FHD+,120 Hz,4832 mAh,Var,40 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,18 MP,6 Çekirdek,3 nm,2.697.900 Puan,12 GB,256 GB,8.75 mm,231 Gram,Cam,Var,Var,Var,Var,Var,6.0,Var,iOS,Var
2,76999.0,99.0,6.71 İnç,OLED,FHD+,120 Hz,7100 mAh,Var,100 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,8 Çekirdek,3 nm,,12 GB,512 GB,8.32 mm,219 Gram,,Var,Var,Var,Var,Var,6.0,Var,Android,Var
3,38800.0,89.0,6.83 İnç,AMOLED,FHD+,144 Hz,5500 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,8 Çekirdek,3 nm,2.393.700 Puan,12 GB,512 GB,7.96 mm,210 Gram,Fiberglass,Var,Var,Var,Var,Var,6.0,Var,Android,Var
4,46999.0,70.0,6.1 İnç,OLED,FHD+,60 Hz,3349 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,4 nm,1.753.700 Puan,6 GB,128 GB,7.8 mm,171 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
5,71499.0,82.0,6.3 İnç,OLED,FHD+,120 Hz,3692 mAh,Var,40 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,18 MP,6 Çekirdek,3 nm,2.542.200 Puan,8 GB,256 GB,7.95 mm,177 Gram,Cam,Var,Var,Var,Var,Var,6.0,Var,iOS,Var
6,31998.0,74.0,6.7 İnç,Dynamic AMOLED,FHD+,120 Hz,4900 mAh,Var,45 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,10 Çekirdek,4 nm,1.810.600 Puan,8 GB,256 GB,7.4 mm,190 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
7,77682.96,97.0,6.78 İnç,AMOLED,FHD+,120 Hz,7500 mAh,Var,80 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,8 Çekirdek,3 nm,2.719.600 Puan,16 GB,512 GB,8.25 mm,224 Gram,,Var,Var,Var,Var,Var,6.0,Var,Android,Var
8,21935.0,76.0,6.67 İnç,AMOLED,FHD+,120 Hz,6000 mAh,Var,90 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,20 MP,8 Çekirdek,4 nm,1.700.100 Puan,12 GB,512 GB,8.29 mm,195 Gram,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Var,Var,Var,Var,Var,6.0,Var,Android,Var
9,58285.9,75.0,6.1 İnç,OLED,FHD+,60 Hz,3561 mAh,Var,25 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,3 nm,1.517.700 Puan,8 GB,128 GB,7.8 mm,170 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
10,22474.0,65.0,6.7 İnç,Super AMOLED,FHD+,120 Hz,5000 mAh,Var,45 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,12 MP,8 Çekirdek,4 nm,910.500 Puan,8 GB,256 GB,7.4 mm,198 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
11,95499.0,89.0,6.3 İnç,OLED,FHD+,120 Hz,3988 mAh,Var,40 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,18 MP,6 Çekirdek,3 nm,2.430.600 Puan,12 GB,256 GB,8.75 mm,204 Gram,Cam,Var,Var,Var,Var,Var,6.0,Var,iOS,Var
12,12229.0,60.0,6.67 İnç,AMOLED,FHD+,120 Hz,5500 mAh,Var,45 W,Yok,200 MP,Var,1080p (Full HD),60 fps,32 MP,8 Çekirdek,6 nm,423.900 Puan,8 GB,256 GB,8.24 mm,180 Gram,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.3,Var,Android,Var
13,74879.04,100.0,6.78 İnç,AMOLED,FHD+,165 Hz,7300 mAh,Var,120 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,8 Çekirdek,3 nm,2.790.200 Puan,16 GB,512 GB,8.2 mm,215 Gram,,Var,Var,Var,Var,Var,6.0,Var,Android,Var
14,59999.0,94.0,6.31 İnç,AMOLED,FHD+,120 Hz,6040 mAh,Var,90 W,Var,200 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,8 Çekirdek,3 nm,2.554.000 Puan,16 GB,512 GB,7.95 mm,190 Gram,Cam,Var,Var,Var,Var,Var,6.0,Var,Android,Var
15,42999.0,87.0,6.83 İnç,AMOLED,FHD+,144 Hz,5500 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,8 Çekirdek,3 nm,2.393.700 Puan,12 GB,256 GB,7.96 mm,210 Gram,Fiberglass,Var,Var,Var,Var,Var,6.0,Var,Android,Var
16,77899.06,88.0,6.9 İnç,Dynamic AMOLED,QHD+,120 Hz,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,8 Çekirdek,3 nm,2.551.600 Puan,12 GB,512 GB,8.2 mm,218 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
17,40499.0,72.0,6.1 İnç,OLED,FHD+,60 Hz,4005 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,3 nm,1.405.700 Puan,8 GB,128 GB,7.8 mm,167 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
18,36099.0,83.0,6.7 İnç,AMOLED,FHD+,120 Hz,6000 mAh,Var,100 W,Var,200 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,8 Çekirdek,4 nm,1.902.700 Puan,12 GB,512 GB,8.1 mm,205 Gram,,Var,Var,Var,Var,Var,5.4,Var,Android,Var
19,13399.0,55.0,6.7 İnç,Super AMOLED,FHD+,90 Hz,5000 mAh,Var,25 W,Yok,50 MP,Var,1080p (Full HD),30 fps,13 MP,8 Çekirdek,5 nm,463.100 Puan,8 GB,256 GB,7.5 mm,192 Gram,,Var,Var,Var,Var,Var,5.3,Var,Android,Var
20,75622.38,87.0,6.9 İnç,Dynamic AMOLED,QHD+,120 Hz,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,8 Çekirdek,3 nm,2.551.600 Puan,12 GB,256 GB,8.2 mm,218 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
21,17458.06,62.0,6.77 İnç,AMOLED,FHD+,120 Hz,6500 mAh,Var,45 W,Yok,200 MP,Var,1080p (Full HD),60 fps,32 MP,8 Çekirdek,6 nm,,8 GB,256 GB,7.96 mm,195 Gram,,Yok,Var,Var,Var,Var,5.3,Var,Android,Var
22,11200.0,53.0,6.9 İnç,IPS LCD,FHD+,144 Hz,7000 mAh,Var,33 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,8 Çekirdek,6 nm,372.100 Puan,8 GB,256 GB,8.4 mm,214 Gram,,Yok,Var,Var,Var,Var,5.0,Var,Android,Var
23,18048.97,63.0,6.7 İnç,Super AMOLED,FHD+,120 Hz,5000 mAh,Var,45 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,12 MP,8 Çekirdek,4 nm,655.200 Puan,8 GB,256 GB,7.4 mm,195 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
24,48699.0,82.0,6.7 İnç,Dynamic AMOLED,QHD+,120 Hz,3900 mAh,Var,25 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,8 Çekirdek,3 nm,2.161.200 Puan,12 GB,256 GB,5.8 mm,163 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
25,21389.93,73.0,6.67 İnç,AMOLED,FHD+,120 Hz,6000 mAh,Var,90 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,20 MP,8 Çekirdek,4 nm,1.700.100 Puan,8 GB,256 GB,8.29 mm,195 Gram,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Var,Var,Var,Var,Var,6.0,Var,Android,Var
26,59974.0,86.0,6.7 İnç,Dynamic AMOLED,QHD+,120 Hz,4900 mAh,Var,45 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,8 Çekirdek,3 nm,2.258.900 Puan,12 GB,256 GB,7.3 mm,190 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
27,47999.0,82.0,6.2 İnç,Dynamic AMOLED,FHD+,120 Hz,4000 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,8 Çekirdek,3 nm,2.193.700 Puan,12 GB,256 GB,7.2 mm,162 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
28,40303.17,64.0,6.1 İnç,OLED,FHD+,60 Hz,3227 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,5 nm,1.550.800 Puan,4 GB,128 GB,7.65 mm,174 Gram,Cam,Var,Var,Var,Var,Var,5.0,Var,iOS,Var
29,31999.0,75.0,6.2 İnç,Dynamic AMOLED,FHD+,120 Hz,4000 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,10 Çekirdek,4 nm,1.851.600 Puan,8 GB,256 GB,7.6 mm,167 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
30,24319.0,67.0,6.83 İnç,AMOLED,FHD+,120 Hz,6580 mAh,Var,45 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,20 MP,8 Çekirdek,4 nm,652.900 Puan,8 GB,256 GB,7.96 mm,210 Gram,,Var,Var,Var,Var,Var,5.4,Var,Android,Var
31,91999.0,88.0,6.9 İnç,OLED,FHD+,120 Hz,4685 mAh,Var,30 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,3 nm,1.949.200 Puan,8 GB,256 GB,8.25 mm,227 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
32,39704.25,79.0,6.7 İnç,Dynamic AMOLED,QHD+,120 Hz,4900 mAh,Var,45 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,10 Çekirdek,4 nm,1.827.100 Puan,12 GB,256 GB,7.7 mm,196 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
33,32950.0,79.0,6.83 İnç,AMOLED,FHD+,120 Hz,5500 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,8 Çekirdek,4 nm,1.640.700 Puan,12 GB,256 GB,7.5 mm,194 Gram,Plastik (Cam Görünümlü),Var,Var,Var,Var,Var,6.0,Var,Android,Var
34,9590.3,48.0,6.9 İnç,IPS LCD,HD+,120 Hz,6000 mAh,Var,33 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,8 Çekirdek,12 nm,274.600 Puan,8 GB,256 GB,7.99 mm,205 Gram,,Yok,Var,Var,Var,Var,5.4,Var,Android,Var
35,65205.0,83.0,6.8 İnç,Dynamic AMOLED,QHD+,120 Hz,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,8 Çekirdek,4 nm,2.019.200 Puan,12 GB,256 GB,8.6 mm,232 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
36,7649.0,42.0,6.7 İnç,PLS,HD+,90 Hz,5000 mAh,Var,25 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,8 Çekirdek,6 nm,394.400 Puan,4 GB,128 GB,7.6 mm,184 Gram,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.3,Yok,Android,Var
37,14799.0,59.0,6.7 İnç,Super AMOLED,FHD+,120 Hz,5000 mAh,Var,25 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,13 MP,8 Çekirdek,5 nm,599.200 Puan,8 GB,256 GB,7.7 mm,200 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
38,16812.71,,6.57 İnç,AMOLED,FHD+,120 Hz,7000 mAh,Var,80 W,Yok,50 MP,Yok,1080p (Full HD),60 fps,16 MP,8 Çekirdek,6 nm,,8 GB,256 GB,8 mm,185 Gram,,Var,Var,Var,Var,Var,5.4,Var,Android,Var
39,53449.0,71.0,6.1 İnç,OLED,FHD+,60 Hz,3349 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,4 nm,1.753.700 Puan,6 GB,256 GB,7.8 mm,171 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
40,15050.0,57.0,6.78 İnç,AMOLED,FHD+,144 Hz,5160 mAh,Var,45 W,Yok,50 MP,Yok,1440p (Quad HD) 2K,30 fps,13 MP,8 Çekirdek,6 nm,449.900 Puan,8 GB,256 GB,6.09 mm,156 Gram,,Var,Var,Var,Var,Var,5.4,Var,Android,Var
41,77999.0,84.0,6.3 İnç,OLED,FHD+,120 Hz,3582 mAh,Var,25 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,3 nm,1.853.700 Puan,8 GB,128 GB,8.25 mm,199 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
42,10900.0,56.0,6.67 İnç,AMOLED,FHD+,120 Hz,5500 mAh,Var,33 W,Yok,108 MP,Yok,1080p (Full HD),60 fps,20 MP,8 Çekirdek,6 nm,443.500 Puan,8 GB,256 GB,8.16 mm,196.5 Gram,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.3,Var,Android,Var
43,20999.0,66.0,6.79 İnç,AMOLED,FHD+,120 Hz,7500 mAh,Var,66 W,Yok,108 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,8 Çekirdek,4 nm,754.200 Puan,8 GB,256 GB,7.76 mm,189 Gram,Plastik (Cam Görünümlü),Var,Var,Var,Var,Var,5.2,Var,Android,Var
44,48999.0,81.0,6.2 İnç,Dynamic AMOLED,FHD+,120 Hz,4000 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,8 Çekirdek,3 nm,2.193.700 Puan,12 GB,128 GB,7.2 mm,162 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
45,55549.0,92.0,6.8 İnç,OLED,FHD+,120 Hz,5850 mAh,Var,100 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,8 Çekirdek,3 nm,2.727.900 Puan,12 GB,512 GB,8.8 mm,223 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
46,29126.54,73.0,6.7 İnç,Dynamic AMOLED,FHD+,120 Hz,4700 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,10 MP,10 Çekirdek,4 nm,1.832.742 Puan,8 GB,256 GB,8 mm,213 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
47,50999.0,,6.32 İnç,OLED,FHD+,120 Hz,6200 mAh,Var,80 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,8 Çekirdek,4 nm,,12 GB,512 GB,8.13 mm,188 Gram,,Var,Var,Var,Var,Var,5.4,Var,Android,Var
48,12413.66,57.0,6.7 İnç,Super AMOLED,FHD+,120 Hz,5000 mAh,Var,25 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,13 MP,8 Çekirdek,5 nm,583.300 Puan,6 GB,128 GB,7.7 mm,200 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
49,54599.0,93.0,6.9 İnç,AMOLED,FHD+,120 Hz,6500 mAh,Var,100 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,8 Çekirdek,3 nm,2.720.000 Puan,12 GB,256 GB,8.05 mm,220 Gram,,Var,Var,Var,Var,Var,6.0,Var,Android,Var
50,76852.51,83.0,6.7 İnç,OLED,FHD+,120 Hz,4441 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,3 nm,1.740.400 Puan,8 GB,256 GB,8.25 mm,221 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
51,129899.0,91.0,6.9 İnç,OLED,FHD+,120 Hz,4832 mAh,Var,40 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,18 MP,6 Çekirdek,3 nm,2.697.900 Puan,12 GB,512 GB,8.75 mm,231 Gram,Cam,Var,Var,Var,Var,Var,6.0,Var,iOS,Var
52,16032.54,61.0,6.7 İnç,Super AMOLED,FHD+,120 Hz,5000 mAh,Var,45 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,12 MP,8 Çekirdek,4 nm,655.200 Puan,8 GB,128 GB,7.4 mm,195 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
53,59999.0,89.0,6.85 İnç,AMOLED,FHD+,144 Hz,7500 mAh,Var,80 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,16 MP,8 Çekirdek,3 nm,2.974.500 Puan,12 GB,256 GB,8.9 mm,230 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
54,11999.0,60.0,6.67 İnç,AMOLED,FHD+,120 Hz,5000 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,8 Çekirdek,6 nm,599.600 Puan,8 GB,256 GB,7.87 mm,190 Gram,Kauçuk/Plastik (Deri Görünümlü),Var,Var,Var,Var,Var,5.2,Var,Android,Var
55,71055.67,79.0,6.1 İnç,OLED,FHD+,120 Hz,3274 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,3 nm,1.791.300 Puan,8 GB,128 GB,8.25 mm,187 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
56,24399.0,69.0,6.55 İnç,AMOLED,FHD+,120 Hz,6000 mAh,Var,80 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,50 MP,8 Çekirdek,4 nm,848.100 Puan,12 GB,256 GB,7.3 mm,184 Gram,,Var,Var,Var,Var,Var,5.4,Var,Android,Var
57,15870.0,63.0,6.67 İnç,AMOLED,FHD+,120 Hz,5500 mAh,Var,45 W,Yok,200 MP,Var,1080p (Full HD),60 fps,32 MP,8 Çekirdek,6 nm,452.700 Puan,12 GB,512 GB,8.24 mm,180 Gram,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.3,Var,Android,Var
58,59875.64,95.0,6.85 İnç,AMOLED,FHD+,144 Hz,7200 mAh,Var,80 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,16 MP,8 Çekirdek,3 nm,2.941.800 Puan,16 GB,512 GB,8.6 mm,227 Gram,Cam,Var,Var,Var,Var,Var,6.0,Var,Android,Var
59,11398.0,53.0,6.7 İnç,Super AMOLED,FHD+,90 Hz,5000 mAh,Var,25 W,Yok,50 MP,Var,1080p (Full HD),30 fps,13 MP,8 Çekirdek,5 nm,445.300 Puan,6 GB,128 GB,7.5 mm,192 Gram,,Var,Var,Var,Var,Var,5.3,Var,Android,Var
60,31992.5,73.0,6.2 İnç,Dynamic AMOLED,FHD+,120 Hz,4000 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,10 Çekirdek,4 nm,1.588.900 Puan,8 GB,128 GB,7.6 mm,167 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
61,15399.0,57.0,6.77 İnç,AMOLED,FHD+,120 Hz,6000 mAh,Var,33 W,Yok,108 MP,Yok,1080p (Full HD),60 fps,20 MP,8 Çekirdek,6 nm,421.300 Puan,8 GB,256 GB,7.94 mm,183.7 Gram,,Yok,Var,Var,Var,Var,5.3,Var,Android,Var
62,17868.72,65.0,6.4 İnç,Dynamic AMOLED,FHD+,120 Hz,4500 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,8 Çekirdek,5 nm,955.800 Puan,8 GB,128 GB,7.9 mm,177 Gram,Polimer (Cam Görünümlü),Var,Var,Var,Var,Var,5.0,Var,Android,Var
63,31999.0,68.0,6.83 İnç,AMOLED,FHD+,120 Hz,6500 mAh,Var,100 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,32 MP,8 Çekirdek,4 nm,,8 GB,256 GB,8.47 mm,207.1 Gram,Fiberglass | Kauçuk/Plastik (Deri Görünümlü),Var,Var,Var,Var,Var,5.4,Var,Android,Var
64,12129.85,,6.67 İnç,IPS LCD,HD+,120 Hz,6000 mAh,Var,45 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,8 Çekirdek,6 nm,,8 GB,256 GB,7.99 mm,194 Gram,,Var,Var,Var,Var,Var,5.4,Var,Android,Var
65,41999.0,77.0,6.59 İnç,AMOLED,FHD+,120 Hz,6500 mAh,Var,80 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,8 Çekirdek,4 nm,1.086.700 Puan,12 GB,256 GB,7.89 mm,197 Gram,,Var,Var,Var,Var,Var,5.4,Var,Android,Var
66,36499.0,83.0,6.36 İnç,AMOLED,FHD+,120 Hz,4610 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,24 fps,32 MP,8 Çekirdek,4 nm,1.996.900 Puan,12 GB,256 GB,8.20 mm,193 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
67,31110.0,80.0,6.83 İnç,AMOLED,FHD+,120 Hz,5500 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,8 Çekirdek,4 nm,1.640.700 Puan,12 GB,512 GB,7.5 mm,194 Gram,Plastik (Cam Görünümlü),Var,Var,Var,Var,Var,6.0,Var,Android,Var
68,74100.0,81.0,6.5 İnç,OLED,FHD+,120 Hz,3149 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,18 MP,6 Çekirdek,3 nm,2.123.800 Puan,12 GB,256 GB,5.64 mm,165 Gram,Cam,Var,Var,Var,Var,Var,6.0,Var,iOS,Var
69,21147.0,69.0,6.67 İnç,AMOLED,FHD+,120 Hz,5000 mAh,Var,120 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,8 Çekirdek,4 nm,742.500 Puan,12 GB,512 GB,8.9 mm,204.5 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
70,45231.1,81.0,6.31 İnç,AMOLED,FHD+,120 Hz,6500 mAh,Var,90 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,8 Çekirdek,4 nm,1.939.800 Puan,12 GB,256 GB,7.99 mm,186 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
71,23999.0,64.0,6.77 İnç,AMOLED,FHD+,120 Hz,6500 mAh,Var,45 W,Yok,200 MP,Var,1080p (Full HD),60 fps,32 MP,8 Çekirdek,6 nm,,12 GB,512 GB,7.96 mm,195 Gram,,Yok,Var,Var,Var,Var,5.3,Var,Android,Var
72,90047.04,96.0,6.78 İnç,AMOLED,FHD+,120 Hz,6510 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,50 MP,8 Çekirdek,3 nm,2.982.900 Puan,16 GB,512 GB,7.99 mm,226 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
73,26827.09,76.0,6.67 İnç,AMOLED,FHD+,144 Hz,5000 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,8 Çekirdek,4 nm,1.359.000 Puan,12 GB,512 GB,7.8 mm,195 Gram,Plastik (Cam Görünümlü),Var,Var,Var,Var,Var,5.4,Var,Android,Var
74,41399.0,85.0,6.59 İnç,AMOLED,FHD+,120 Hz,6210 mAh,Var,100 W,Yok,50 MP,Var,4320p (Ultra HD) 8K,30 fps,20 MP,8 Çekirdek,3 nm,,12 GB,512 GB,8 mm,199 Gram,,Var,Var,Var,Var,Var,5.4,Var,Android,Var
75,53974.0,90.0,6.36 İnç,AMOLED,FHD+,120 Hz,5240 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,8 Çekirdek,3 nm,2.692.300 Puan,12 GB,512 GB,8.08 mm,191 Gram,,Var,Var,Var,Var,Var,6.0,Var,Android,Var
76,20999.0,64.0,6.7 İnç,Super AMOLED,FHD+,120 Hz,5000 mAh,Var,45 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,12 MP,8 Çekirdek,4 nm,910.500 Puan,8 GB,128 GB,7.4 mm,198 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
77,16283.0,,6.9 İnç,IPS LCD,FHD+,144 Hz,7000 mAh,Var,33 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,8 Çekirdek,6 nm,,8 GB,256 GB,8.4 mm,217 Gram,,Var,Var,Var,Var,Var,5.1,Var,Android,Var
78,29900.0,72.0,6.7 İnç,Dynamic AMOLED,FHD+,120 Hz,4700 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,10 MP,10 Çekirdek,4 nm,1.788.500 Puan,8 GB,128 GB,8 mm,213 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
79,81008.09,94.0,6.73 İnç,AMOLED,QHD+,120 Hz,5410 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,8 Çekirdek,3 nm,2.661.600 Puan,16 GB,512 GB,9.48 mm,226 Gram,,Var,Var,Var,Var,Var,6.0,Var,Android,Var
80,17867.1,65.0,6.4 İnç,Dynamic AMOLED,FHD+,120 Hz,4500 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,8 Çekirdek,5 nm,941.400 Puan,8 GB,128 GB,7.9 mm,177 Gram,Polimer (Cam Görünümlü),Var,Var,Var,Var,Var,5.0,Var,Android,Var
81,35499.0,76.0,6.59 İnç,AMOLED,FHD+,120 Hz,6000 mAh,Var,80 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,8 Çekirdek,4 nm,1.384.000 Puan,12 GB,256 GB,7.42 mm,187 Gram,,Var,Var,Var,Var,Var,5.4,Var,Android,Var
