urun_id,urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
240,,66.0,6.2 İnç,Dynamic AMOLED,FHD+,120 Hz,4000 mAh,Var,25 W,Var,12 MP,Var,4320p (Ultra HD) 8K,24 fps,10 MP,8 Çekirdek,5 nm,1.007.700 Puan,8 GB,128 GB,7.9 mm,171 Gram,Plastik,Var,Var,Var,Var,Var,5.0,Var,Android,Var
241,28024.05,53.0,6.1 İnç,IPS LCD,HD+,60 Hz,3110 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,7 nm,950.700 Puan,4 GB,128 GB,8.3 mm,194 Gram,Cam,Yok,Var,Var,Var,Var,5.0,Var,iOS,Var
242,1399.0,11.0,4.0 İnç,Super AMOLED,SD,60 Hz,1500 mAh,Yok,,Yok,5 MP,Yok,720p (HD),30 fps,0.3 MP,2 Çekirdek,45 nm,,1 GB,8 GB,9.9 mm,120 Gram,,Yok,Yok,Yok,Var,Var,4.0,Yok,Android,Yok
243,9399.0,,6.67 İnç,IPS LCD,HD+,90 Hz,6000 mAh,Var,45 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,5 MP,8 Çekirdek,11 nm,,6 GB,128 GB,7.99 mm,193 Gram,,Yok,Var,Var,Var,Var,5.0,Var,Android,Var
244,8199.0,,6.67 İnç,IPS LCD,HD+,120 Hz,6000 mAh,Var,18 W,Yok,13 MP,Yok,,,8 MP,8 Çekirdek,12 nm,,4 GB,128 GB,8.37 mm,,,Yok,Var,Var,Var,Var,5.4,Var,Android,Var
245,16757.1,60.0,6.67 İnç,AMOLED,FHD+,120 Hz,5110 mAh,Var,45 W,Yok,50 MP,Var,1080p (Full HD),30 fps,20 MP,8 Çekirdek,6 nm,475.500 Puan,12 GB,256 GB,7.99 mm,190 Gram,,Var,Var,Var,Var,Var,5.3,Var,Android,Var
246,118275.0,89.0,6.9 İnç,OLED,FHD+,120 Hz,4685 mAh,Var,30 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,3 nm,1.949.200 Puan,8 GB,512 GB,8.25 mm,227 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
247,10476.0,53.0,6.67 İnç,AMOLED,FHD+,120 Hz,5000 mAh,Var,67 W,Yok,108 MP,Yok,1080p (Full HD),30 fps,16 MP,8 Çekirdek,12 nm,388.500 Puan,8 GB,128 GB,8.12 mm,202 Gram,Cam,Yok,Var,Var,Var,Var,5.1,Var,Android,Var
248,20316.0,,6.77 İnç,AMOLED,FHD+,120 Hz,5520 mAh,Var,45 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,20 MP,8 Çekirdek,4 nm,654.300 Puan,8 GB,512 GB,7.35 mm,178 Gram,,Var,Var,Var,Var,Var,5.1,Var,Android,Var
249,25633.0,,6.77 İnç,AMOLED,FHD+,120 Hz,6500 mAh,Var,90 W,Yok,50 MP,Yok,2160p (Ultra HD) 4K,30 fps,32 MP,8 Çekirdek,4 nm,,12 GB,256 GB,7.69 mm,194 Gram,,Var,Var,Var,Var,Var,5.4,Var,Android,Var
250,43949.0,71.0,6.7 İnç,Dynamic AMOLED,FHD+,120 Hz,4000 mAh,Var,25 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,10 MP,10 Çekirdek,4 nm,1.355.800 Puan,8 GB,256 GB,6.9 mm,187 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
251,42257.79,69.0,6.7 İnç,Dynamic AMOLED,FHD+,120 Hz,4000 mAh,Var,25 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,10 MP,10 Çekirdek,4 nm,1.355.800 Puan,8 GB,128 GB,6.9 mm,187 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
252,7399.0,,6.67 İnç,IPS LCD,HD+,120 Hz,5000 mAh,Var,15 W,Yok,13 MP,Yok,1080p (Full HD),30 fps,8 MP,8 Çekirdek,12 nm,,4 GB,128 GB,8.25 mm,,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,,Yok,Android,Var
253,8930.0,,6.7 İnç,IPS LCD,HD+,90 Hz,5000 mAh,Var,22.5 W,Yok,108 MP,Yok,1080p (Full HD),30 fps,16 MP,8 Çekirdek,12 nm,,8 GB,256 GB,8.2 mm,,,Yok,Var,Var,Var,Var,,,Android,Yok
254,25119.06,62.0,6.78 İnç,AMOLED,FHD+,120 Hz,6600 mAh,Var,66 W,Yok,108 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,8 Çekirdek,4 nm,581.400 Puan,8 GB,256 GB,7.98 mm,189 Gram,,Var,Var,Var,Var,Var,5.1,Var,Android,Var
255,13439.04,,6.78 İnç,AMOLED,FHD+,120 Hz,5000 mAh,Var,45 W,Var,108 MP,Var,,,32 MP,8 Çekirdek,6 nm,,8 GB,256 GB,8.09 mm,196 Gram,,Var,Var,Var,Var,Var,,Var,Android,Var
256,9999.0,51.0,6.72 İnç,IPS LCD,FHD+,90 Hz,5828 mAh,Var,45 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,8 Çekirdek,12 nm,279.100 Puan,8 GB,256 GB,7.99 mm,196 Gram,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Var,Android,Var
257,,75.0,6.78 İnç,AMOLED,FHD+,120 Hz,5500 mAh,Var,100 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,16 MP,8 Çekirdek,4 nm,1.515.100 Puan,16 GB,256 GB,8.8 mm,207 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
258,8999.0,47.0,6.8 İnç,IPS LCD,FHD+,90 Hz,5000 mAh,Var,18 W,Yok,50 MP,Yok,1440p (Quad HD) 2K,30 fps,32 MP,8 Çekirdek,12 nm,,8 GB,256 GB,8.46 mm,208 Gram,Cam,Yok,Var,Var,Var,Var,5.0,Var,Android,Yok
259,14996.04,60.0,6.67 İnç,AMOLED,FHD+,120 Hz,5000 mAh,Var,120 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,8 Çekirdek,6 nm,538.400 Puan,8 GB,256 GB,8.98 mm,210.5 Gram,,Var,Var,Var,Var,Var,5.2,Var,Android,Var
260,28649.04,61.0,6.7 İnç,Super AMOLED,FHD+,120 Hz,5000 mAh,Var,25 W,Yok,108 MP,Var,2160p (Ultra HD) 4K,30 fps,32 MP,8 Çekirdek,6 nm,,8 GB,128 GB,7.6 mm,181 Gram,,Var,Var,Var,Var,Var,5.0,Var,Android,Var
261,27774.2,72.0,6.73 İnç,AMOLED,QHD+,120 Hz,4600 mAh,Var,120 W,Var,50 MP,Var,4320p (Ultra HD) 8K,24 fps,32 MP,8 Çekirdek,4 nm,1.119.400 Puan,12 GB,256 GB,8.16 mm,205 Gram,Cam,Var,Var,Var,Var,Var,5.2,Var,Android,Yok
262,,63.0,5.4 İnç,OLED,FHD+,60 Hz,2425 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,5 nm,1.289.300 Puan,4 GB,128 GB,7.65 mm,141 Gram,Cam,Var,Var,Var,Var,Var,5.0,Var,iOS,Var
263,51000.0,66.0,6.1 İnç,OLED,FHD+,60 Hz,3227 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,5 nm,1.550.800 Puan,4 GB,256 GB,7.65 mm,174 Gram,Cam,Var,Var,Var,Var,Var,5.0,Var,iOS,Var
264,15399.0,,6.67 İnç,AMOLED,FHD+,144 Hz,4200 mAh,Var,30 W,Yok,64 MP,Yok,4320p (Ultra HD) 8K,30 fps,16 MP,8 Çekirdek,5 nm,,12 GB,256 GB,7.8 mm,186 Gram,Plastik,Var,Var,Var,Var,Var,5.2,Var,Android,Yok
265,20160.91,57.0,6.5 İnç,Super AMOLED,FHD+,90 Hz,4500 mAh,Var,25 W,Yok,64 MP,Var,2160p (Ultra HD) 4K,30 fps,32 MP,8 Çekirdek,8 nm,,8 GB,128 GB,8.4 mm,189 Gram,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Var,Android,Var
266,9499.0,50.0,6.43 İnç,AMOLED,FHD+,60 Hz,5000 mAh,Var,33 W,Yok,64 MP,Yok,2160p (Ultra HD) 4K,30 fps,13 MP,8 Çekirdek,12 nm,423.100 Puan,6 GB,128 GB,8.29 mm,178.8 Gram,Plastik,Yok,Var,Var,Var,Var,5.0,Yok,Android,Var
267,41105.82,78.0,6.83 İnç,AMOLED,FHD+,120 Hz,6500 mAh,Var,90 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,20 MP,8 Çekirdek,4 nm,2.024.800 Puan,12 GB,512 GB,8.2 mm,215.7 Gram,Cam,Var,Var,Var,Var,Var,6.0,Var,Android,Var
268,35924.0,,6.78 İnç,OLED,FHD+,120 Hz,5100 mAh,Var,100 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,8 Çekirdek,,,12 GB,512 GB,7.68 mm,207 Gram,,Yok,Var,Var,Var,Var,5.2,Var,Android,
269,11813.99,,6.75 İnç,IPS LCD,HD+,120 Hz,6000 mAh,Var,18 W,Yok,50 MP,Yok,1440p (Quad HD) 2K,30 fps,5 MP,8 Çekirdek,6 nm,,8 GB,256 GB,8.14 mm,199 Gram,,Var,Var,Var,Var,Var,5.4,Var,Android,Var
270,9199.0,,6.74 İnç,IPS LCD,HD+,120 Hz,5000 mAh,Var,18 W,Yok,50 MP,Yok,,,8 MP,8 Çekirdek,6 nm,,8 GB,128 GB,8.3 mm,206 Gram,,Var,Var,Var,Var,Var,5.0,Var,Android,
271,29996.14,76.0,6.67 İnç,AMOLED,FHD+,120 Hz,6000 mAh,Var,90 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,20 MP,8 Çekirdek,4 nm,1.649.900 Puan,12 GB,512 GB,8.29 mm,195 Gram,Plastik (Cam Görünümlü),Var,Var,Var,Var,Var,6.0,Var,Android,Var
272,7122.99,,6.53 İnç,IPS LCD,HD+,90 Hz,5000 mAh,,,Yok,50 MP,Yok,,,13 MP,8 Çekirdek,12 nm,,6 GB,128 GB,,,,Yok,Var,Var,Var,Var,5.0,,Android,Yok
273,29755.2,61.0,6.9 İnç,AMOLED,FHD+,120 Hz,4720 mAh,Var,70 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,32 MP,8 Çekirdek,6 nm,764.100 Puan,8 GB,256 GB,7.64 mm,196 Gram,,Var,Var,Var,Var,Var,5.3,Var,Android,Yok
274,27900.0,58.0,6.95 İnç,IPS LCD,FHD+,144 Hz,5000 mAh,Var,33 W,Yok,100 MP,Yok,2160p (Ultra HD) 4K,30 fps,32 MP,8 Çekirdek,4 nm,1.019.600 Puan,12 GB,256 GB,8 mm,230 Gram,Metal,Var,Var,Var,Var,Var,5.2,Var,Android,Yok
275,93499.0,87.0,6.3 İnç,OLED,FHD+,120 Hz,3582 mAh,Var,25 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,3 nm,1.853.700 Puan,8 GB,512 GB,8.25 mm,199 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
276,14879.04,54.0,6.5 İnç,Super AMOLED,FHD+,120 Hz,5000 mAh,Var,25 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,13 MP,8 Çekirdek,5 nm,480.800 Puan,6 GB,128 GB,8.3 mm,197 Gram,Plastik (Cam Görünümlü),Var,Var,Var,Var,Var,5.3,Var,Android,Yok
