urun_id,urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
405,9.581903928408666,3.8066624897703196,6.7 İnç,IPS LCD,FHD+,90 Hz,5000 mAh,Var,40 W,Yok,108 MP,Yok,1080p (Full HD),30 fps,8 MP,8 Çekirdek,6 nm,331.100 Puan,8 GB,128 GB,8.4 mm,199 Gram,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Var,Android,Yok
406,11.502875129116727,4.330733340286331,6.7 İnç,OLED,FHD+,120 Hz,4352 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,5 nm,1.438.500 Puan,6 GB,512 GB,7.65 mm,240 Gram,Cam,Var,Var,Var,Var,Var,5.0,Var,iOS,Var
408,9.50613271707527,3.828641396489095,6.4 İnç,Super AMOLED,FHD+,60 Hz,5000 mAh,Var,15 W,Yok,48 MP,Yok,1080p (Full HD),30 fps,20 MP,8 Çekirdek,12 nm,221.500 Puan,4 GB,128 GB,8.6 mm,185 Gram,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Var,Android,Yok
411,9.937744041214218,4.174387269895637,6.67 İnç,AMOLED,FHD+,120 Hz,5800 mAh,Var,45 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,32 MP,8 Çekirdek,4 nm,638.900 Puan,12 GB,256 GB,7.76 mm,192 Gram,Plastik (Cam Görünümlü),Var,Var,Var,Var,Var,5.1,Var,Android,Var
413,10.547236221420816,4.248495242049359,6.7 İnç,Dynamic AMOLED,FHD+,120 Hz,3700 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,10 MP,8 Çekirdek,4 nm,1.507.300 Puan,8 GB,256 GB,6.9 mm,187 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
415,10.819598268208338,4.2626798770413155,6.6 İnç,Dynamic AMOLED,FHD+,120 Hz,4500 mAh,Var,45 W,Var,50 MP,Var,4320p (Ultra HD) 8K,24 fps,10 MP,8 Çekirdek,4 nm,1.038.500 Puan,8 GB,128 GB,7.6 mm,196 Gram,Cam,Var,Var,Var,Var,Var,5.2,Var,Android,Var
416,10.80770671532125,4.219507705176107,6.1 İnç,OLED,FHD+,60 Hz,3227 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,5 nm,1.550.800 Puan,4 GB,512 GB,7.65 mm,174 Gram,Cam,Var,Var,Var,Var,Var,5.0,Var,iOS,Var
421,9.431885847046487,4.04305126783455,6.78 İnç,AMOLED,FHD+,144 Hz,5160 mAh,Var,45 W,Yok,50 MP,,1440p (Quad HD) 2K,30 fps,13 MP,8 Çekirdek,6 nm,449.900 Puan,8 GB,256 GB,5.95 mm,155 Gram,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.4,Var,Android,Var
422,11.02679245379461,4.343805421853684,6.9 İnç,Dynamic AMOLED,FHD+,120 Hz,4300 mAh,Var,25 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,10 MP,10 Çekirdek,3 nm,1.943.900 Puan,12 GB,256 GB,6.5 mm,188 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
423,9.047468439003541,3.8066624897703196,6.67 İnç,IPS LCD,HD+,90 Hz,5000 mAh,Var,45 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,8 Çekirdek,12 nm,273.000 Puan,8 GB,128 GB,7.64 mm,185 Gram,,Yok,Var,Var,Var,Var,5.0,Var,Android,Var
424,10.615500156648109,4.290459441148391,6.6 İnç,OLED,FHD+,120 Hz,4900 mAh,Var,66 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,13 MP,8 Çekirdek,7 nm,751.800 Puan,12 GB,256 GB,7.95 mm,207 Gram,,Yok,Var,Var,Var,Var,5.2,Var,Android,Var
425,9.259605661350994,3.8501476017100584,6.72 İnç,IPS LCD,FHD+,90 Hz,5000 mAh,Var,33 W,Yok,64 MP,Yok,1080p (Full HD),60 fps,8 MP,8 Çekirdek,12 nm,,8 GB,256 GB,7.89 mm,189.5 Gram,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.2,Var,Android,Yok
428,11.547819523947549,4.394449154672439,6.7 İnç,OLED,FHD+,120 Hz,4323 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,6 Çekirdek,4 nm,1.761.400 Puan,6 GB,512 GB,7.85 mm,240 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
429,9.547957667053378,3.912023005428146,6.43 İnç,AMOLED,FHD+,90 Hz,5000 mAh,Var,33 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,13 MP,8 Çekirdek,6 nm,,6 GB,128 GB,8.09 mm,179 Gram,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Yok,Android,Var
430,10.51867319162636,4.290459441148391,6.78 İnç,AMOLED,FHD+,144 Hz,5200 mAh,Var,100 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,8 Çekirdek,4 nm,1.369.400 Puan,12 GB,256 GB,7.99 mm,209 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
431,10.86906356408504,4.330733340286331,6.7 İnç,Dynamic AMOLED,FHD+,120 Hz,4000 mAh,Var,25 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,10 MP,8 Çekirdek,4 nm,1.511.600 Puan,12 GB,512 GB,6.9 mm,187 Gram,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
435,9.852247414630483,4.127134385045092,6.7 İnç,AMOLED,FHD+,120 Hz,5000 mAh,Var,100 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,32 MP,8 Çekirdek,6 nm,560.400 Puan,12 GB,512 GB,8.7 mm,189 Gram,,Var,Var,Var,Var,Var,5.2,Var,Android,Yok
438,10.738702276399117,4.382026634673881,6.67 İnç,AMOLED,QHD+,120 Hz,6000 mAh,Var,90 W,Yok,50 MP,Var,4320p (Ultra HD) 8K,24 fps,20 MP,8 Çekirdek,4 nm,2.065.300 Puan,12 GB,512 GB,8.12 mm,206 Gram,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
439,9.230044955250518,3.8918202981106265,6.68 İnç,IPS LCD,HD+,90 Hz,6000 mAh,Var,44 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,8 Çekirdek,12 nm,278.200 Puan,8 GB,256 GB,8.09 mm,199 Gram,,Yok,Var,Var,Var,Var,5.0,Var,Android,Var
440,9.392661928770137,3.9318256327243257,6.4 İnç,Super AMOLED,FHD+,90 Hz,5000 mAh,Var,67 W,Yok,108 MP,Yok,1080p (Full HD),30 fps,16 MP,8 Çekirdek,6 nm,427.200 Puan,8 GB,128 GB,7.95 mm,178 Gram,,Yok,Var,Var,Var,Var,5.2,Var,Android,Yok
