urun_adi,url,fiyat_tl,puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü,ekran_ekran_çözünürlüğü_standardı,ekran_piksel_yoğunluğu,ekran_ekran_yenileme_hızı,ekran_ekran_oranı_aspect_ratio,ekran_ekran_alanı,ekran_ekran_özellikleri,ekran_ekran_dayanıklılığı,ekran_renk_sayısı,ekran_ekran___gövde_oranı,batarya_batarya_kapasitesi_tipik,batarya_video_oynatma,batarya_video_oynatma_notu,batarya_şarj,batarya_batarya_teknolojisi,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_hızlı_şarj_özellikleri,batarya_kablosuz_şarj,batarya_kablosuz_şarj_özellikleri,batarya_değişir_batarya,batarya_batarya_özellikleri,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_ois_özelliği,kamera_kamera_özellikleri,kamera_flaş,kamera_diyafram_açıklığı,kamera_odak_uzaklığı,kamera_kayıpsız_yakınlaştırma,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_video_kayıt_özellikleri,kamera_video_kayıt_seçenekleri,kamera_ağır_çekim_kayıt_seçenekleri,kamera_i̇kinci_arka_kamera,kamera_i̇kinci_arka_kamera_çözünürlüğü,kamera_i̇kinci_arka_kamera_diyafram,kamera_i̇kinci_arka_kamera_özellikleri,kamera_ön_kamera_çözünürlüğü,kamera_ön_kamera_video_çözünürlüğü,kamera_ön_kamera_fps_değeri,kamera_ön_kamera_diyafram_açıklığı,kamera_ön_kamera_özellikleri,temel_donanim_yonga_seti_chipset,temel_donanim_cpu_frekansı,temel_donanim_cpu_çekirdeği,temel_donanim_ana_i̇şlemci_cpu,temel_donanim_1._yardımcı_i̇şlemci,temel_donanim_i̇şlemci_mimarisi,temel_donanim_grafik_i̇şlemcisi_gpu,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_geekbench_6_single_core,temel_donanim_geekbench_6_multi_core,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,temel_donanim_hafıza_kartı_desteği,temel_donanim_diğer_hafıza_seçenekleri,tasarim_boy,tasarim_en,tasarim_kalınlık,tasarim_ağırlık,tasarim_renk_seçenekleri,tasarim_gövde_malzemesi_kapak,tasarim_gövde_malzemesi_çerçeve,ağ_bağlantilari_2g,ağ_bağlantilari_3g,ağ_bağlantilari_4g,ağ_bağlantilari_4g_özellikleri,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_5g,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi_versiyonu,kablosuz_bağlantilar_wi_fi_kanalları,kablosuz_bağlantilar_wi_fi_özellikleri,kablosuz_bağlantilar_nfc,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_kızılötesi,kablosuz_bağlantilar_navigasyon_özellikleri,çoklu_ortam_radyo,çoklu_ortam_hoparlör_özellikleri,çoklu_ortam_ses_çıkışı,özelli̇kler_suya_dayanıklılık,özelli̇kler_suya_dayanıklılık_seviyesi,özelli̇kler_toza_dayanıklılık,özelli̇kler_toza_dayanıklılık_seviyesi,özelli̇kler_görüntülü_konuşma_uygulama,özelli̇kler_sensörler,özelli̇kler_parmak_izi_okuyucu,özelli̇kler_bildirim_işığı_led,özelli̇kler_sar_değeri_10g_baş,özelli̇kler_sar_değeri_10g_vücut,özelli̇kler_servis_ve_uygulamalar,özelli̇kler_kutu_i̇çeriği,di̇ğer_bağlantilar_usb_versiyonu,di̇ğer_bağlantilar_usb_bağlantı_tipi,di̇ğer_bağlantilar_usb_özellikleri,di̇ğer_bağlantilar_hat_sayısı,di̇ğer_bağlantilar_çift_hat_özelliği,di̇ğer_bağlantilar_sim,ab_ürün_kayit_ve_enerji̇_eti̇keti̇_enerji_sınıfı,ab_ürün_kayit_ve_enerji̇_eti̇keti̇_şarj_sonrası_pil_süresi,ab_ürün_kayit_ve_enerji̇_eti̇keti̇_düşme_direnci_sınıfı,ab_ürün_kayit_ve_enerji̇_eti̇keti̇_onarılabilirlik_sınıfı,ab_ürün_kayit_ve_enerji̇_eti̇keti̇_şarj_döngü_sayısı_ab,ab_ürün_kayit_ve_enerji̇_eti̇keti̇_suya_ya_da_toza_direnç_sınıfı,temel_bi̇lgi̇ler_çıkış_yılı,temel_bi̇lgi̇ler_duyurulma_tarihi,temel_bi̇lgi̇ler_seri,temel_bi̇lgi̇ler_alt_seri,batarya_müzik_oynatma,kamera_dxomark_camera_v5,temel_donanim_geekbench_5_single_core,temel_donanim_geekbench_5_multi_core,i̇şleti̇m_si̇stemi̇_yükseltilebilir_versiyon,batarya_i̇nternet_kullanımı_wifi,batarya_i̇nternet_kullanımı_4g,batarya_müzik_oynatma_notu,kamera_üçüncü_arka_kamera,kamera_üçüncü_arka_kamera_çözünürlüğü,kamera_üçüncü_arka_kamera_diyafram,kamera_üçüncü_arka_kamera_özellikleri,kamera_dördüncü_arka_kamera,kamera_dördüncü_arka_kamera_çözünürlüğü,kamera_dördüncü_arka_kamera_diyafram,kamera_dördüncü_arka_kamera_özellikleri,temel_donanim_2._yardımcı_i̇şlemci,temel_donanim_gpu_frekansı,temel_donanim_antutu_puanı_v11,temel_donanim_ram_tipi,temel_donanim_dahili_depolama_biçimi,ağ_bağlantilari_2g_frekansları,ağ_bağlantilari_3g_frekansları,ağ_bağlantilari_4g_frekansları,i̇şleti̇m_si̇stemi̇_kullanıcı_arayüzü,i̇şleti̇m_si̇stemi̇_lansman_arayüz_versiyonu,özelli̇kler_parmak_izi_okuyucu_özellikleri,kamera_dxomark_camera_v6,kamera_dxomark_camera_v4,temel_donanim_antutu_puanı_v9,temel_bi̇lgi̇ler_kullanım_kılavuzu,batarya_şarj_süresi_üretici_verisi,kamera_kamera_sensör_boyutu,kamera_ön_kamera_sensör_boyutu,kablosuz_bağlantilar_bluetooth_özellikleri,batarya_batarya_kapasitesi_notu,temel_donanim_hafıza_kartı_maks._kapasitesi,temel_donanim_diğer_bellek_ram_seçenekleri,batarya_oyun,tasarim_ağırlık_seçenekleri,i̇şleti̇m_si̇stemi̇_planlanan_yükseltilebilir_versiyon,temel_bi̇lgi̇ler_çıkış_tarihi,ağ_bağlantilari_4g_i̇ndirme,ağ_bağlantilari_4g_karşıya_yükleme,ağ_bağlantilari_4g_teknolojisi,kablosuz_bağlantilar_nfc_notu,kamera_diyafram_açıklığı_maks,kamera_i̇kinci_ön_kamera,kamera_i̇kinci_ön_kamera_özellikleri,temel_donanim_diğer_chipset_seçenekleri,batarya_konuşma_süresi_4g,batarya_karma_kullanım,temel_donanim_antutu_puanı_v8,tasarim_kalınlık_en_i̇nce_noktada,özelli̇kler_led_özelliği,ekran_i̇kinci_ekran_arka,ekran_i̇kinci_ekran_boyutu,ekran_i̇kinci_ekran_çözünürlüğü,ekran_i̇kinci_ekran_yoğunluğu,ekran_i̇kinci_ekran_özellikleri,kamera_i̇kinci_ön_kamera_çözünürlüğü,kamera_i̇kinci_ön_kamera_diyafram,tasarim_kalınlık_katlanmış_durumda,tasarim_boy_katlanmış_açılmış_durumda,tasarim_en_katlanmış_açılmış_durumda,temel_bi̇lgi̇ler_diğer_adları,batarya_bekleme_süresi_4g,ağ_bağlantilari_4g_frekansları_notu,kablosuz_bağlantilar_nfc_özellikleri
Apple iPhone 17,https://www.epey.com/akilli-telefonlar/apple-iphone-17.html,69999.00,86,6.3 İnç,OLED,1206x2622 (FHD+) Piksel,FHD+,460 PPI,120 Hz,19.5:9,96.31 cm²,Low-Temperature Polycrystalline Oxide (LTPO) | Dolby Vision | HDR | Çizilmeye Dirençli Cam | HDR10 | Multi Touch | DCI-P3 Renk Uzayı | Oleophobic Coating | Çerçevesiz Tasarım | Sürekli Açık Ekran (Always-on Display) | Ekran İçinde Ön Kamera | HLG | Super Retina XDR Display | True Tone Ekran | 2.000.000:1 Kontrast Oranı (Tipik) | 1000 cd/m² (nit) Parlaklık | 1600 cd/m² (nit) Parlaklık (HDR) | 3000 cd/m² (nit) Parlaklık (Maks.),Corning Ceramic Shield Glass (Gen2),16 Milyon,90.04 %,3692 mAh,27 Saat,Çevrimiçi,USB Type-C,Lithium Ion (Li-Ion),Var,40 W,Hızlı Şarj (40W),Var,Kablosuz Hızlı Şarj | MagSafe ile Kablosuz Hızlı Şarj (30W),Yok,20 Dakikada %50 Dolum,48 MP,Var,Sensor-shift OIS,Focus Pixels Otomatik Odaklama | Portre Modu (Bokeh) | Phase Detect Auto-Focus (PDAF) | Safir Kristal Objektif Kapağı | HDR | Yapay Zeka (AI) Sahne Algılama | Live Photos | Panorama | Fiziki Denklanşör Tuşu | Otomatik Odaklama | Sesli komut | Kırmızı Göz (Red-eye) Düzeltme | Dahili QR Kod Okuyucu | Seri Çekim (Burst) Modu | Zamanlayıcı | 1.0μm (2.0μm) Piksel,LED,F1.6,26 mm,2 x,2160p (Ultra HD) 4K,60 fps,Dolby Vision Kayıt | HDR | HDR (4K) | Dijital görüntü sabitleyici (EIS) | HDR (4K) 60fps | Stereo Ses Kaydı | Sürekli Otomatik Odaklama | Time-lapse (Hyperlapse) | Video Yakınlaştırma | Yavaş Çekim Video Kayıt (Slow motion video),720p @ 30fps | 1080p @ 25fps | 1080p @ 30fps | 1080p @ 60fps | 2160p @ 24fps | 2160p @ 25fps | 2160p @ 30fps | 2160p @ 60fps,1080p @ 120fps | 1080p @ 240fps,Var,48 MP,F2.2,Ekstra Geniş Açı | Makro (Macro) Çekim | Otomatik Odaklama | Ekstra Geniş Açı (120°) | 0.7μm (1.4μm) Piksel | 13mm,18 MP,2160p (Ultra HD) 4K,60 fps,F1.9,Otomatik Odaklama | Portre Modu | TrueDepth Camera | HDR | Sanal Flaş | Video HDR Dolby Vision | Yavaş Çekim (Slow Motion) Video Kayıt | Time-lapse (Hyperlapse) | Zamanlayıcı (self-timer) | Animoji | Dijital görüntü sabitleyici (EIS) | Live Photos | Pozlama Kontrolü | Seri Çekim (Burst) Modu | Video HDR | Yüz Algılama | 1080p @ 120fps Kayıt,Apple A19,4.26 GHz,6 Çekirdek,2x 4.26 GHz,4x 2.50 GHz,64-bit,5x Apple GPU,3 nm,2.430.300 Puan,3.695 Puan,9.425 Puan,8 GB,256 GB,Yok,256/512GB Depolama seçeneği var,149.6 mm,71.5 mm,7.95 mm,177 Gram,Siyah | Beyaz | Mavi | Mor | Yeşil,Cam,Alüminyum,Var,Var,Var,VoLTE (Voice over LTE) Desteği,Var,Var,iOS,iOS 26,Wi-Fi 7 (802.11 a/b/g/n/ac/ax/be),Dual-Band (5GHz) | VoWiFi (Wi-Fi Araması) | Thread Networking Protocol | 2X MIMO | MIMO | Wi-Fi Hotspot,Var,6.0,Yok,GPS | BDS | GLONASS | Galileo | QZSS | Dual-Frequency GPS | NavIC,Yok,Stereo | Çift Hoparlör,USB Type-C,Var,IPX8,Var,IP6X,Var,İvmeölçer | Jiroskop | Yakınlık Sensörü | Pusula | Ortam Işığı Sensörü | Barometre | Ortam Işığı Sensörü (Arka),Yok,Yok,1.49 W/kg,1.49 W/kg,AirPlay | Apple Pay | Arttırılmış Gerçeklik (Augmented Reality-AR) Uyumu | Dolby Atmos | Ekran Yansıtma (Screen Mirroring) | Face ID | FaceTime | Gürültü Önleyici 2 Mikrofon | iCloud Drive | Kısayol Tuşu (Kişiselleştirilebilir) | Kısayol Tuşu (Sessiz Mod) | MagSafe | Siri | Trafik Kazası Algılama | Ultra Geniş Bant (UWB) | Yüz Tanımlama | Yüz Tanımlama (3D),SIM Çıkartma İğnesi | USB Kablosu (Type-C'den Type-C'ye),2.0,USB Type-C,DisplayPort | Kulaklık Ses Çıkışı,Çift Hat,Dual eSIM | Dual Standby,eSIM | Nano-SIM (4FF),A,41 saat,B,C,1000 Döngü,IP68,2025,"2025, Eylül",Apple iPhone 17,Apple iPhone 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple iPhone 15,https://www.epey.com/akilli-telefonlar/apple-iphone-15.html,46014.21,73,6.1 İnç,OLED,1179x2556 (FHD+) Piksel,FHD+,460 PPI,60 Hz,19.5:9,90.41 cm²,Dolby Vision | HDR | Çizilmeye Dirençli Cam | HDR10 | Multi Touch | DCI-P3 Renk Uzayı | Oleophobic Coating | Çerçevesiz Tasarım | Ekran İçinde Ön Kamera | HLG | Super Retina XDR Display | True Tone Ekran | 2.000.000:1 Kontrast Oranı (Tipik) | 1000 cd/m² (nit) Parlaklık | 1600 cd/m² (nit) Parlaklık (HDR) | 2000 cd/m² (nit) Parlaklık (Maks.),Corning Ceramic Shield Glass,16 Milyon,85.55 %,3349 mAh,16 Saat,Çevrimiçi,USB Type-C,Lithium Ion (Li-Ion),Var,20 W,Hızlı Şarj (20W),Var,Kablosuz Hızlı Şarj | MagSafe ile Kablosuz Hızlı Şarj (15W) | Kablosuz Şarj (7.5W),Yok,,48 MP,Var,Sensor-shift OIS,Focus Pixels Otomatik Odaklama | Portre Modu (Bokeh) | Phase Detect Auto-Focus (PDAF) | Safir Kristal Objektif Kapağı | HDR | Yapay Zeka (AI) Sahne Algılama | Live Photos | Panorama | Otomatik Odaklama | Sesli komut | Kırmızı Göz (Red-eye) Düzeltme | Dahili QR Kod Okuyucu | Seri Çekim (Burst) Modu | Zamanlayıcı | 2.00µm Piksel,LED,F1.6,26 mm,2 x,2160p (Ultra HD) 4K,60 fps,Dolby Vision Kayıt | HDR | HDR (4K) | Dijital görüntü sabitleyici (EIS) | Stereo Ses Kaydı | Sürekli Otomatik Odaklama | Time-lapse (Hyperlapse) | Video Yakınlaştırma | Yavaş Çekim Video Kayıt (Slow motion video),1080p @ 25fps | 1080p @ 30fps | 1080p @ 60fps | 2160p @ 24fps | 2160p @ 25fps | 2160p @ 30fps | 2160p @ 60fps,1080p @ 120fps | 1080p @ 240fps,Var,12 MP,F2.4,Ekstra Geniş Açı | Ekstra Geniş Açı (120°) | 13mm,12 MP,2160p (Ultra HD) 4K,60 fps,F1.9,Otomatik Odaklama | Portre Modu | TrueDepth Camera | HDR | Sanal Flaş | Video HDR Dolby Vision | Yavaş Çekim (Slow Motion) Video Kayıt | Time-lapse (Hyperlapse) | Zamanlayıcı (self-timer) | Animoji | Dijital görüntü sabitleyici (EIS) | Live Photos | Pozlama Kontrolü | Seri Çekim (Burst) Modu | Video HDR | Yüz Algılama | 1080p @ 120fps Kayıt,Apple A16 Bionic,3.46 GHz,6 Çekirdek,2x 3.46 GHz Everest,4x 2.0 GHz Sawtooth,64-bit,5x Apple GPU,4 nm,1.753.700 Puan,2.655 Puan,7.070 Puan,6 GB,128 GB,Yok,128/256/512GB Depolama seçeneği var,147.6 mm,71.6 mm,7.8 mm,171 Gram,Siyah | Mavi | Pembe | Sarı | Yeşil,Cam,Alüminyum,Var,Var,Var,VoLTE (Voice over LTE) Desteği,Var,Var,iOS,iOS 17,Wi-Fi 6 (802.11 a/b/g/n/ac/ax),Dual-Band (5GHz) | VoWiFi (Wi-Fi Araması) | 2X MIMO | MIMO | Wi-Fi Hotspot,Var,5.3,Yok,GPS | BDS | GLONASS | Galileo | QZSS,Yok,Stereo | Çift Hoparlör,USB Type-C,Var,IPX8,Var,IP6X,Var,İvmeölçer | Jiroskop | Yakınlık Sensörü | Pusula | Ortam Işığı Sensörü | Barometre | Ortam Işığı Sensörü (Arka),Yok,Yok,0.98 W/kg,0.98 W/kg,AirPlay | Apple Pay | Arttırılmış Gerçeklik (Augmented Reality-AR) Uyumu | Dolby Atmos | Ekran Yansıtma (Screen Mirroring) | Face ID | FaceTime | Gürültü Önleyici 2 Mikrofon | iCloud Drive | Kısayol Tuşu (Sessiz Mod) | MagSafe | Siri | Trafik Kazası Algılama | Ultra Geniş Bant (UWB) | Yüz Tanımlama | Yüz Tanımlama (3D),SIM Çıkartma İğnesi | USB Kablosu (Type-C'den Type-C'ye),2.0,USB Type-C,DisplayPort | Kulaklık Ses Çıkışı,Çift Hat,Dual Standby,eSIM | Nano-SIM (4FF),B,34 saat,C,C,1000 Döngü,IP68,2023,"2023, Eylül",Apple iPhone 15,Apple iPhone 15,80 Saat,145 Puan,1.910 Puan,5.305 Puan,iOS 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy S24 Ultra,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s24-ultra.html,53999.00,88,6.8 İnç,Dynamic AMOLED,1440x3120 (QHD+) Piksel,QHD+,505 PPI,120 Hz,19.5:9,113.35 cm²,Low-Temperature Polycrystalline Oxide (LTPO) | HDR | HDR10+ | Çizilmeye Dirençli Cam | HDR10 | Dynamic AMOLED 2X | Multi Touch | DCI-P3 Renk Uzayı | Çerçevesiz Tasarım | Sürekli Açık Ekran (Always-on Display) | Ekran İçinde Ön Kamera | 2600 cd/m² (nit) Parlaklık (Maks.),Corning Gorilla Armor,16 Milyon,88.4 %,5000 mAh,30 Saat,Kablosuz,USB Type-C,Lithium Ion (Li-Ion),Var,45 W,Hızlı Şarj (45W),Var,Kablosuz Hızlı Şarj | Kablosuz Hızlı Şarj (15W),Yok,,200 MP,Var,,Portre Modu (Bokeh) | Phase Detect Auto-Focus (PDAF) | HDR | Yapay Zeka (AI) Sahne Algılama | Dual Pixel Kamera | Perde Hızı (Shutter Speed) Kontrolü | Lazer Otomatik Odaklama (Laser Auto Focus-LDAF) | Panorama | RAW Kayıt Yapabilme | Otomatik Odaklama | Sesli komut | Dahili QR Kod Okuyucu | Perde hızı (Shutter Speed): 30 sn | Seri Çekim (Burst) Modu | Zamanlayıcı | 0.6μm (2.4μm) Piksel | 85° Açılı,LED,F1.7,23 mm,2 x,4320p (Ultra HD) 8K,30 fps,HDR | HDR10+ | Dijital görüntü sabitleyici (EIS) | HDR (8K) | Odak Takibi | Portre Modu (Bokeh) | Time-lapse (Hyperlapse) | Yavaş Çekim Video Kayıt (Slow motion video) | 10-bit LOG,1080p @ 30fps | 1080p @ 60fps | 2160p @ 24fps | 2160p @ 30fps | 2160p @ 60fps | 4320p @ 24fps | 4320p @ 30fps,1080p @ 120fps | 1080p @ 240fps | 2160p @ 120fps,Var,12 MP,F2.2,Ekstra Geniş Açı | Otomatik Odaklama | Phase Detect Auto-Focus (PDAF) | Phase Detect Auto-Focus - PDAF (Dual Pixel) | Ekstra Geniş Açı (120°) | 1.4μm Piksel | 13mm,12 MP,2160p (Ultra HD) 4K,60 fps,F2.2,Otomatik Odaklama | Portre Modu | Video Kayıtta Portre Modu | HDR10+ | Phase Detect Auto-Focus (PDAF) | HDR | Sanal Flaş | Sesle Komut | Yavaş Çekim (Slow Motion) Video Kayıt | Gesture Shot | Time-lapse (Hyperlapse) | Zamanlayıcı (self-timer) | Dijital görüntü sabitleyici (EIS) | Hızlı Odaklama | Panorama Selfi | Phase Detect Auto-Focus - PDAF (Dual Pixel) | 1.12μm Piksel | 26mm | 80° Açılı,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),3.39 GHz,8 Çekirdek,1x 3.39 GHz ARM Cortex-X4,2x 2.9 GHz ARM Cortex-A720 | 3x 3.1 GHz ARM Cortex-A720,64-bit,Adreno (Snapdragon 8 Gen 3),4 nm,2.019.200 Puan,2.310 Puan,7.230 Puan,12 GB,256 GB,Yok,256/512GB/1TB Depolama seçeneği var,162.3 mm,79 mm,8.6 mm,232 Gram,Siyah | Mavi | Gri | Mor | Sarı | Turuncu | Yeşil,Cam,Titanyum,Var,Var,Var,VoLTE (Voice over LTE) Desteği,Var,Var,Android,Android 14 (U),Wi-Fi 7 (802.11 a/b/g/n/ac/ax/be),3 Band (2.4/5/6GHz) | Dual-Band (5GHz) | VoWiFi (Wi-Fi Araması) | 4096 QAM | MU-MIMO | MIMO | Wi-Fi Direct | Wi-Fi Hotspot | MiraCast | EHT320,Var,5.3,Yok,GPS | BDS | GLONASS | Galileo | QZSS,Yok,Stereo | Çift Hoparlör,USB Type-C,Var,IPX8,Var,IP6X,Var,İvmeölçer | Jiroskop | Yakınlık Sensörü | Pusula | Ortam Işığı Sensörü | Hall Sensörü | Barometre,Var,Yok,1.056 W/kg,1.30 W/kg,Corning Gorilla Glass Victus 2 Arka Kapak | Dolby Atmos | Ekran Yansıtma (Screen Mirroring) | Ekrana Çift Dokunarak Açma (KnockON) | Kablosuz Şarj Etme (4.5W) | Kablosuz Şarj ile Başka Cihazları Şarj Edebilme | Karanlık Mod (Dark Mode) | Kolay Arayüz (Easy Mode) | S Pen | Samsung DeX | Samsung KNOX | Sanal RAM Artırma (8GB) | Stylus (Dokunmatik Kalem) Desteği | Tek Elde Kullanım Modu | Ultra Geniş Bant (UWB) | Ultra High Quality Audio (UHQA) | Vapor-Chamber Soğutma | Yüz Tanımlama | 7 Yıl Güncelleme Garantisi | 7 Yıl Güvenlik Güncellemesi Garantisi,SIM Çıkartma İğnesi | USB Kablosu (Type-C'den Type-C'ye),USB 3.2 Gen 1 (USB 3.0),USB Type-C,USB On-the-go (OTG) | DisplayPort | DisplayPort (4K@60fps),Çift Hat,,eSIM | Nano-SIM (4FF),,,,,,,2024,"2024, Ocak",Samsung Galaxy S,Samsung Galaxy S24,95 Saat,144 Puan,1.695 Puan,6.335 Puan,Android 16 (B),28 Saat,27 Saat,Kablosuz,Var,10 MP,F2.4,Telephoto | Optik Görüntü Sabitleyici (OIS) | Otomatik Odaklama | Phase Detect Auto-Focus (PDAF) | Phase Detect Auto-Focus - PDAF (Dual Pixel) | Optik Zoom (3x) | 1.12μm Piksel | 36˚ Açılı | 67mm,Var,50 MP,F3.4,Optik Görüntü Sabitleme (OIS) | Optik Zoom (5x) | Otomatik Odaklama (AF) | Periscope Zoom | Phase Detect Auto-Focus - PDAF (Dual Pixel) | Telephoto | 0.7μm (1.4μm) Piksel | 22˚ Açılı | 100x Dijital Zoom | 111mm,2x 2.2 GHz ARM Cortex-A520,903 MHz,2.280.300 Puan,LPDDR5X,UFS 4.0,850 MHz900 MHz1800 MHz1900 MHz,850 (band 5) MHz900 (band 8) MHz1700 (band 4) MHz1900 (band 2) MHz2100 (band 1) MHz,700 (band 12) MHz | 700 (band 13) MHz | 700 (band 17) MHz | 700 (band 28) MHz | 800 (band 18) MHz | 800 (band 19) MHz | 800 (band 20) MHz | 850 (band 26) MHz | 850 (band 5) MHz | 900 (band 8) MHz | 1700 (band 66) MHz | 1700/2100 (band 4) MHz | 1800 (band 3) MHz | 1900 (band 2) MHz | 1900 (band 25) MHz | 2100 (band 1) MHz | 2600 (band 7) MHz,Samsung One UI,Samsung One UI 6.1,Ekran İçinde | Ultrasonic Sensör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
