urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_cozunurlugu_standardi,ekran_ekran_yenileme_hizi,ekran_ekran_dayanikliligi,batarya_batarya_kapasitesi_tipik,batarya_hizli_sarj,batarya_hizli_sarj_gucu_maks,batarya_kablosuz_sarj,kamera_kamera_cozunurlugu,kamera_optik_goruntu_sabitleyici_ois,kamera_video_kayit_cozunurlugu,kamera_video_fps_degeri,kamera_on_kamera_cozunurlugu,temel_donanim_cpu_cekirdegi,temel_donanim_cpu_uretim_teknolojisi,temel_donanim_antutu_puani_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalinlik,tasarim_agirlik,tasarim_govde_malzemesi_kapak,ag_baglantilari_5g,kablosuz_baglantilar_bluetooth_versiyonu,kablosuz_baglantilar_nfc,isletim_sistemi_isletim_sistemi,ozellikler_suya_dayaniklilik,ozellikler_suya_dayaniklilik_seviyesi,temel_donanim_yonga_seti_marka
47799.0,82.0,6.2,Dynamic AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,4000,Var,25.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,12.0,8 Çekirdek,3,2.193.700 Puan,12.0,256,7.2,162.0,Cam,Var,5.4,Var,Android,1.0,IPX8,Qualcomm
67499.0,94.0,6.31,AMOLED,FHD+,120,,6040,Var,90.0,1,200,1.0,2160p (Ultra HD) 4K,60 fps,50.0,8 Çekirdek,3,2.554.000 Puan,16.0,512,7.95,190.0,Cam,Var,6.0,Var,Android,1.0,IPX9,MediaTek
40375.0,72.0,6.1,OLED,FHD+,60,Corning Ceramic Shield Glass,4005,Var,20.0,1,48,1.0,2160p (Ultra HD) 4K,60 fps,12.0,6 Çekirdek,3,1.405.700 Puan,8.0,128,7.8,167.0,Cam,Var,5.3,Var,iOS,1.0,IPX8,Apple
38999.0,79.0,6.7,Dynamic AMOLED,QHD+,120,Corning Gorilla Glass Victus 2,4900,Var,45.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,12.0,10 Çekirdek,4,1.827.100 Puan,12.0,256,7.7,196.0,Cam,Var,5.3,Var,Android,1.0,IPX8,Samsung Exynos
31658.26,75.0,6.2,Dynamic AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,4000,Var,25.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,12.0,10 Çekirdek,4,1.851.600 Puan,8.0,256,7.6,167.0,Cam,Var,5.3,Var,Android,1.0,IPX8,Samsung Exynos
18534.76,,6.77,AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,6500,Var,45.0,0,200,1.0,1080p (Full HD),60 fps,32.0,8 Çekirdek,6,,8.0,256,7.96,195.0,,Yok,5.3,Var,Android,1.0,IPX5,MediaTek
9077.22,48.0,6.9,IPS LCD,HD+,120,,6000,Var,33.0,0,50,0.0,1080p (Full HD),30 fps,8.0,8 Çekirdek,12,274.600 Puan,8.0,256,7.99,205.0,,Yok,5.4,Var,Android,1.0,IPX4,MediaTek
91967.49,88.0,6.9,OLED,FHD+,120,Corning Ceramic Shield Glass (Gen2),4685,Var,30.0,1,48,1.0,2160p (Ultra HD) 4K,60 fps,12.0,6 Çekirdek,3,1.949.200 Puan,8.0,256,8.25,227.0,Cam,Var,5.3,Var,iOS,1.0,IPX8,Apple
14299.0,59.0,6.7,Super AMOLED,FHD+,120,Corning Gorilla Glass Victus+,5000,Var,25.0,0,50,1.0,2160p (Ultra HD) 4K,30 fps,13.0,8 Çekirdek,5,599.200 Puan,8.0,256,7.7,200.0,Cam,Var,5.3,Var,Android,1.0,IPX7,Samsung Exynos
65770.85,83.0,6.8,Dynamic AMOLED,QHD+,120,Corning Gorilla Armor,5000,Var,45.0,1,200,1.0,4320p (Ultra HD) 8K,30 fps,12.0,8 Çekirdek,4,2.019.200 Puan,12.0,256,8.6,232.0,Cam,Var,5.3,Var,Android,1.0,IPX8,Qualcomm
