Segment,Mutlak_Hata,Yuzde_Hata,Adet
0-20,0.0008974075317382812,0.008158250288529829,2
20-40,0.7984076605902778,3.084352753782725,27
40-60,0.3636471430460612,0.7640122923847241,144
60-80,0.2656363071539463,0.3854414422172714,195
80-100,0.49946970014429803,0.5656312336757776,67
